Seed,TrainingError,TestError
325977,4.020490405301544e7,2.523107396376291e7
549051,3.958627413382812e7,2.9462718642931733e7
218586,3.7005757998931184e7,2.919300268340811e7
894246,3.8011357354171276e7,2.2380831619348027e7
353111,3.3407903530413013e7,2.16483504139967e7
394255,3.931521427625522e7,4.633950432327001e7
953125,4.709647170961507e7,2.2699311756738015e7
795547,3.52983422978643e7,3.742755797522786e7
494250,3.563869659633205e7,3.2265760276240576e7
748415,3.765746209446788e7,2.9735056503381394e7
578232,4.159707521458985e7,3.7209787311288774e7
727935,4.27080864304682e7,2.66139121356918e7
7448,3.388753187421131e7,2.6522984917669002e7
199376,4.595157432790944e7,2.3418713596250843e7
439243,3.165094164561213e7,2.7312594484789e7
682533,3.0709403702994425e7,3.52360500168602e7
956741,2.8655907959394805e7,2.762359677274096e7
647855,3.687313133391164e7,2.494070540107906e7
996666,4.2011602043859184e7,2.756571267944625e7
749194,4.223496038773232e7,3.1042007248020165e7
110084,4.929272330998207e7,3.562212813809808e7
491383,3.1125514876792476e7,3.623402839548478e7
565145,4.0887432807754196e7,2.6980271388299085e7
253812,3.4191565625113785e7,2.6446737671529688e7
626794,4.105845557381472e7,2.6274348474007875e7
234104,3.1547448961944256e7,2.9602000685676612e7
124792,5.872522592441146e7,2.4622450092077322e7
609875,3.881175033516909e7,3.8455307529625386e7
672793,4.140048184770236e7,3.244697857354483e7
761916,3.2131538224531792e7,5.0183555550982274e7
588872,4.469922966596289e7,2.716669927851691e7
365854,3.886935054417502e7,3.364787697136143e7
131025,3.564598597798207e7,2.7141028503620196e7
946454,4.2673887503371924e7,2.5860175004910976e7
574324,5.389392068149412e7,4.9400349491678946e7
677650,5.081414991526726e7,2.8807620179920666e7
571586,4.8920296754637316e7,3.509681130465565e7
72716,2.8629228443826057e7,3.740251269589831e7
701116,3.985490246680313e7,3.0709946196991626e7
95217,3.7199363874702364e7,3.275152307970021e7
845515,5.2377847582161784e7,1.723858043607276e7
348995,4.421615034800197e7,2.5450376859676782e7
768309,3.13484069914259e7,3.548387489960303e7
269059,5.194932045669192e7,2.1871446558685344e7
539631,4.4133207764818974e7,5.107779841157067e7
293905,4.898779760179371e7,2.3838196871315934e7
242194,4.4896027367488265e7,2.5112067113340374e7
978070,3.892614900380993e7,2.3902970907554407e7
853242,4.317358838447022e7,3.424156212913127e7
706065,5.0582710284939155e7,1.6735405959656801e7
442139,4.1818766149732605e7,3.149347017355655e7
884577,3.948627481856765e7,2.352572459361224e7
520741,4.194079165271754e7,3.0244405447779976e7
941831,4.8249816555448845e7,3.568110341989715e7
810699,3.814145716238006e7,2.9045444999763053e7
464848,4.0252197051640436e7,3.833759065634699e7
977013,4.976831898721662e7,2.5725515602537427e7
500161,4.496419434703164e7,2.563428193345047e7
715846,4.1136549906734265e7,2.1187686982706036e7
189850,3.511871323393413e7,3.3909596744285464e7
376441,4.7918461165690005e7,3.131519556414645e7
565864,4.32969741216934e7,2.492668067657627e7
172235,4.072332658181311e7,3.8602679933215424e7
327351,3.991050864596592e7,3.609451550765258e7
632108,3.262474280194324e7,4.661652910482429e7
374141,5.0263601606753275e7,3.402925171894207e7
728543,3.0823129038970347e7,2.8252859359740123e7
2776,3.3419282934435368e7,2.704223001965331e7
134685,4.499782614744733e7,3.1273577292377636e7
531899,5.351615844527291e7,2.9232357803920705e7
73170,3.813988864444086e7,3.980503283590087e7
501756,3.8479823012345664e7,4.823257039457378e7
906940,4.9794666659554124e7,2.337649034728185e7
116769,4.127315188880515e7,3.2914249640231047e7
367197,3.772532785748014e7,3.6253378299385875e7
881164,3.2928486867552914e7,2.6855058346170112e7
671891,4.987767406649583e7,1.947011938340227e7
479862,3.784305615005043e7,3.2149470936995327e7
949969,5.695064758290276e7,2.4300420058415897e7
26233,3.3183830730023876e7,4.566405885922387e7
347189,5.196347854823252e7,2.2799278407180917e7
819254,4.146516778452287e7,2.105492707014354e7
792832,3.621317160731365e7,4.071003821651045e7
967230,4.599057694352913e7,2.730360494646152e7
471452,4.718677453720325e7,3.1266297341947116e7
193780,4.77915489339443e7,2.2220219024379417e7
941781,4.571746805394171e7,3.248923523474323e7
669388,3.752195627595252e7,3.601412714657204e7
892109,3.874888725270082e7,2.532057896440897e7
356715,4.904566918217173e7,3.311281772352087e7
728948,5.2827176758317314e7,2.956232033976028e7
400910,4.9202235126765534e7,2.9062727493958835e7
314519,4.547286803972247e7,2.1145614419762548e7
804720,3.651419663944732e7,2.825977175903055e7
108778,3.867256653951506e7,1.5296731857706409e7
498061,5.5529711743896775e7,3.12279988665522e7
553733,4.226883843106127e7,3.2201783047087047e7
488934,4.4162603647108264e7,2.6191438754017137e7
491581,4.543862724495756e7,2.4309651362883277e7
932783,4.17155739903268e7,3.1456947440408666e7
