Blocks,Seed,TrainingError,TestError
Original,325977,4.107759308055414e7,2.5433926053779114e7
Original,549051,4.070612590324846e7,2.8741467070593126e7
Original,218586,3.80396613570911e7,2.9579232078972485e7
Original,894246,3.870567136460273e7,2.25319756938809e7
Original,353111,3.422997320817311e7,2.1768149757905927e7
Original,394255,4.006613841895903e7,4.631549101321787e7
Original,953125,4.822232488006498e7,2.2978906846162997e7
Original,795547,3.59844109482715e7,3.77903600422002e7
Original,494250,3.642062670441731e7,3.2953313892867416e7
Original,748415,3.8474741445762634e7,3.00053561109581e7
Original,578232,4.24527450806507e7,3.7215284179376684e7
Original,727935,4.35979376210703e7,2.68268402886527e7
Original,7448,3.4777970666295946e7,2.619002729904674e7
Original,199376,4.688851694617218e7,2.354745861541732e7
Original,439243,3.245645106529377e7,2.796296362729828e7
Original,682533,3.1630946310466416e7,3.4985394916371346e7
Original,956741,2.9763941364608303e7,2.7986253100491025e7
Original,647855,3.752310167899676e7,2.5405723564385608e7
Original,996666,4.2992918369350724e7,2.7386911483336832e7
Original,749194,4.307015157894563e7,3.1113934631876893e7
Original,110084,5.050965614315629e7,3.544544353840637e7
Original,491383,3.1675284479433402e7,3.6693000061025e7
Original,565145,4.174330297644743e7,2.744107254463099e7
Original,253812,3.5304895242224514e7,2.6530700436973594e7
Original,626794,4.2185134194953784e7,2.6065674154274426e7
Original,234104,3.2483101290020313e7,2.973560309693525e7
Original,124792,5.983617510252131e7,2.4965602788989395e7
Original,609875,3.999480903330487e7,3.870590242461197e7
Original,672793,4.216072354403819e7,3.2925408097908873e7
Original,761916,3.295122554412797e7,5.071246416450594e7
Original,588872,4.5722821595656976e7,2.731185323454075e7
Original,365854,3.982234758457029e7,3.41468936495081e7
Original,131025,3.6406979223162204e7,2.7302590196604297e7
Original,946454,4.3638028320854925e7,2.628248572683614e7
Original,574324,5.4960413514421925e7,4.9841184843000636e7
Original,677650,5.197728188600228e7,2.7954856082273535e7
Original,571586,5.037997946726564e7,3.486519152488535e7
Original,72716,2.9313178665266648e7,3.8423280742231704e7
Original,701116,4.062117954125041e7,3.1072866720542114e7
Original,95217,3.817263675839196e7,3.3104109698494367e7
Original,845515,5.33644035252499e7,1.7342992206702344e7
Original,348995,4.53519148385925e7,2.571279556208567e7
Original,768309,3.2730686562586933e7,3.512165980477072e7
Original,269059,5.297125092903769e7,2.1770263823817804e7
Original,539631,4.492270533930969e7,5.14549203541069e7
Original,293905,4.991195630435958e7,2.4414106470723875e7
Original,242194,4.5922949384983316e7,2.490031543991656e7
Original,978070,3.973040354397282e7,2.4112279206674043e7
Original,853242,4.394258340512429e7,3.3474309745423004e7
Original,706065,5.1682596290665e7,1.6519098969859876e7
Original,442139,4.309175589165491e7,3.0928973528853722e7
Original,884577,4.050746602850565e7,2.3839272282214448e7
Original,520741,4.278495978644615e7,3.0420476573772084e7
Original,941831,4.9236873478092656e7,3.534976943537468e7
Original,810699,3.889903740190822e7,2.9012262267672457e7
Original,464848,4.124758377118312e7,3.858178498471522e7
Original,977013,5.093219719481364e7,2.45434040027254e7
Original,500161,4.607175915383123e7,2.5782679022522748e7
Original,715846,4.201724868109422e7,2.1182514626040734e7
Original,189850,3.597644752175654e7,3.4449147915147796e7
Original,376441,4.9041836595220804e7,3.1128055568773482e7
Original,565864,4.410217628042127e7,2.531219029974428e7
Original,172235,4.162973049308075e7,3.9036461539333224e7
Original,327351,4.09842273782734e7,3.611198046209021e7
Original,632108,3.368139515717921e7,4.680380597083208e7
Original,374141,5.138664876464388e7,3.405390401922841e7
Original,728543,3.1961963886634827e7,2.841037092570877e7
Original,2776,3.4063215481859356e7,2.737359012955293e7
Original,134685,4.609695650981781e7,3.1801702923294567e7
Original,531899,5.475892926565521e7,2.9276542299393907e7
Original,73170,3.903390858367208e7,3.986827500196764e7
Original,501756,3.9718171051529e7,4.832357408494502e7
Original,906940,5.0762303790883206e7,2.352780343158071e7
Original,116769,4.213108450472887e7,3.2835178300657198e7
Original,367197,3.8533649647566296e7,3.675864881068002e7
Original,881164,3.364861479906186e7,2.7170731696969848e7
Original,671891,5.079773274388036e7,1.967345209518772e7
Original,479862,3.86625117504762e7,3.2426148037649818e7
Original,949969,5.837193732257657e7,2.336848456152282e7
Original,26233,3.382110228694981e7,4.644960773709221e7
Original,347189,5.344645924455261e7,2.2995681516677856e7
Original,819254,4.2373732056274414e7,2.1184685311584473e7
Original,792832,3.6916910993698105e7,4.1132347551117286e7
Original,967230,4.743944078728664e7,2.715211879704513e7
Original,471452,4.8114583421773285e7,3.1387552775472768e7
Original,193780,4.893781762422915e7,2.1631389298644572e7
Original,941781,4.665347249005394e7,3.1864138107898436e7
Original,669388,3.824841800007489e7,3.653596083680211e7
Original,892109,3.95396894142497e7,2.5477138046465747e7
Original,356715,5.015710008875735e7,3.3319435373013772e7
Original,728948,5.3948166489247754e7,2.9732054117742635e7
Original,400910,5.0257870812461585e7,2.848753774706839e7
Original,314519,4.661578774202895e7,2.137448556000781e7
Original,804720,3.719760991732986e7,2.8783714849957593e7
Original,108778,3.951304193235604e7,1.536285059323796e7
Original,498061,5.6703753983160704e7,3.1040038407191288e7
Original,553733,4.3185342180150904e7,3.137650265358961e7
Original,488934,4.524311747731182e7,2.624768152808518e7
Original,491581,4.6487154730322346e7,2.4628597851300225e7
Original,932783,4.3322260526657104e7,3.1551686408081055e7
