Blocks,Seed,TrainingError,TestError
FromLS,325977,4.020490405301544e7,2.5231073963762976e7
FromLS,549051,3.95862741338281e7,2.9462718642931648e7
FromLS,218586,3.700575799893119e7,2.919300268340824e7
FromLS,894246,3.8011357354171276e7,2.238083161934804e7
FromLS,353111,3.340790353041301e7,2.1648350413996752e7
FromLS,394255,3.931521427625521e7,4.633950432327008e7
FromLS,953125,4.709647170961507e7,2.2699311756738007e7
FromLS,795547,3.52983422978643e7,3.742755797522777e7
FromLS,494250,3.563869659633204e7,3.2265760276240457e7
FromLS,748415,3.7657462094467886e7,2.9735056503381416e7
FromLS,578232,4.159707521458985e7,3.7209787311288424e7
FromLS,727935,4.270808643046819e7,2.6613912135691788e7
FromLS,7448,3.3887531874211326e7,2.6522984917669035e7
FromLS,199376,4.5951574327909455e7,2.3418713596250787e7
FromLS,439243,3.1650941645612136e7,2.731259448478896e7
FromLS,682533,3.0709403702994425e7,3.523605001686056e7
FromLS,956741,2.86559079593948e7,2.7623596772741124e7
FromLS,647855,3.687313133391164e7,2.4940705401079066e7
FromLS,996666,4.2011602043859184e7,2.7565712679446302e7
FromLS,749194,4.223496038773231e7,3.10420072480203e7
FromLS,110084,4.929272330998206e7,3.562212813809808e7
FromLS,491383,3.112551487679247e7,3.6234028395484775e7
FromLS,565145,4.0887432807754196e7,2.6980271388298925e7
FromLS,253812,3.419156562511379e7,2.6446737671529688e7
FromLS,626794,4.105845557381472e7,2.62743484740079e7
FromLS,234104,3.1547448961944252e7,2.9602000685676605e7
FromLS,124792,5.8725225924411446e7,2.4622450092077445e7
FromLS,609875,3.881175033516909e7,3.8455307529625446e7
FromLS,672793,4.1400481847702354e7,3.2446978573544856e7
FromLS,761916,3.2131538224531792e7,5.018355555098227e7
FromLS,588872,4.469922966596289e7,2.7166699278517105e7
FromLS,365854,3.886935054417502e7,3.36478769713615e7
FromLS,131025,3.564598597798206e7,2.714102850362027e7
FromLS,946454,4.2673887503371924e7,2.586017500491097e7
FromLS,574324,5.38939206814941e7,4.940034949167757e7
FromLS,677650,5.081414991526725e7,2.880762017992095e7
FromLS,571586,4.8920296754637316e7,3.5096811304655656e7
FromLS,72716,2.8629228443826053e7,3.740251269589858e7
FromLS,701116,3.985490246680313e7,3.0709946196991734e7
FromLS,95217,3.7199363874702364e7,3.275152307970025e7
FromLS,845515,5.2377847582161784e7,1.723858043607274e7
FromLS,348995,4.4216150348001964e7,2.5450376859676573e7
FromLS,768309,3.1348406991425905e7,3.548387489960295e7
FromLS,269059,5.194932045669192e7,2.187144655868545e7
FromLS,539631,4.4133207764818974e7,5.10777984115707e7
FromLS,293905,4.898779760179371e7,2.383819687131579e7
FromLS,242194,4.4896027367488265e7,2.511206711334055e7
FromLS,978070,3.892614900380993e7,2.39029709075544e7
FromLS,853242,4.3173588384470224e7,3.424156212913123e7
FromLS,706065,5.0582710284939155e7,1.6735405959656809e7
FromLS,442139,4.181876614973261e7,3.1493470173556507e7
FromLS,884577,3.9486274818567656e7,2.352572459361223e7
FromLS,520741,4.194079165271754e7,3.0244405447780196e7
FromLS,941831,4.8249816555448845e7,3.56811034198971e7
FromLS,810699,3.814145716238006e7,2.9045444999763023e7
FromLS,464848,4.0252197051640436e7,3.833759065634703e7
FromLS,977013,4.9768318987216614e7,2.572551560253741e7
FromLS,500161,4.496419434703164e7,2.5634281933450304e7
FromLS,715846,4.113654990673427e7,2.118768698270598e7
FromLS,189850,3.511871323393413e7,3.390959674428551e7
FromLS,376441,4.791846116568999e7,3.1315195564146418e7
FromLS,565864,4.32969741216934e7,2.492668067657645e7
FromLS,172235,4.072332658181312e7,3.8602679933215275e7
FromLS,327351,3.991050864596592e7,3.609451550765271e7
FromLS,632108,3.262474280194324e7,4.661652910482414e7
FromLS,374141,5.0263601606753275e7,3.402925171894203e7
FromLS,728543,3.082312903897035e7,2.8252859359740056e7
FromLS,2776,3.3419282934435368e7,2.704223001965334e7
FromLS,134685,4.499782614744732e7,3.1273577292377584e7
FromLS,531899,5.351615844527291e7,2.9232357803920828e7
FromLS,73170,3.813988864444086e7,3.9805032835900694e7
FromLS,501756,3.847982301234567e7,4.823257039457357e7
FromLS,906940,4.979466665955411e7,2.3376490347281836e7
FromLS,116769,4.127315188880514e7,3.2914249640230805e7
FromLS,367197,3.772532785748014e7,3.625337829938574e7
FromLS,881164,3.2928486867552917e7,2.6855058346170045e7
FromLS,671891,4.9877674066495836e7,1.9470119383402254e7
FromLS,479862,3.784305615005044e7,3.214947093699528e7
FromLS,949969,5.695064758290277e7,2.4300420058415387e7
FromLS,26233,3.3183830730023876e7,4.5664058859223835e7
FromLS,347189,5.196347854823252e7,2.2799278407180946e7
FromLS,819254,4.1465167784522876e7,2.1054927070143584e7
FromLS,792832,3.621317160731365e7,4.071003821651049e7
FromLS,967230,4.599057694352913e7,2.7303604946461495e7
FromLS,471452,4.718677453720326e7,3.126629734194717e7
FromLS,193780,4.779154893394431e7,2.22202190243797e7
FromLS,941781,4.571746805394171e7,3.2489235234743197e7
FromLS,669388,3.7521956275952525e7,3.601412714657203e7
FromLS,892109,3.8748887252700806e7,2.5320578964408893e7
FromLS,356715,4.904566918217173e7,3.3112817723520923e7
FromLS,728948,5.28271767583173e7,2.9562320339760218e7
FromLS,400910,4.9202235126765534e7,2.906272749395895e7
FromLS,314519,4.5472868039722465e7,2.1145614419762403e7
FromLS,804720,3.651419663944732e7,2.825977175903055e7
FromLS,108778,3.867256653951506e7,1.5296731857706394e7
FromLS,498061,5.552971174389678e7,3.1227998866552196e7
FromLS,553733,4.226883843106126e7,3.220178304708702e7
FromLS,488934,4.4162603647108264e7,2.6191438754017156e7
FromLS,491581,4.5438627244957566e7,2.4309651362883314e7
FromLS,932783,4.17155739903268e7,3.145694744040817e7
