Blocks,Seed,TrainingError,TestError
FromLSOpt,325977,4.032560646563717e7,2.512678442368728e7
FromLSOpt,549051,3.965739910817279e7,2.840850897673609e7
FromLSOpt,218586,3.701085033545175e7,2.9154216939917244e7
FromLSOpt,894246,3.803148569442517e7,2.226631704603385e7
FromLSOpt,353111,3.35702351463107e7,2.15336630184135e7
FromLSOpt,394255,3.9349797205228314e7,4.598738940390543e7
FromLSOpt,953125,4.712280597455247e7,2.264411565207854e7
FromLSOpt,795547,3.541135039527958e7,3.735902713752837e7
FromLSOpt,494250,3.571593020310123e7,3.2048624082978733e7
FromLSOpt,748415,3.7772153699003026e7,2.9750005253111072e7
FromLSOpt,578232,4.172606009366524e7,3.683113052181169e7
FromLSOpt,727935,4.275785523148845e7,2.660530275430941e7
FromLSOpt,7448,3.3960165492780104e7,2.634016987184088e7
FromLSOpt,199376,4.59841737460923e7,2.337935446671349e7
FromLSOpt,439243,3.1674725833267193e7,2.7353909610165033e7
FromLSOpt,682533,3.082768287615642e7,3.47564547704023e7
FromLSOpt,956741,2.8987661186467506e7,2.711928727274032e7
FromLSOpt,647855,3.69257254837928e7,2.49658034000873e7
FromLSOpt,996666,4.2083189242986634e7,2.713071559148049e7
FromLSOpt,749194,4.24510988534136e7,3.0611819578134477e7
FromLSOpt,110084,4.937457870345839e7,3.533940817453915e7
FromLSOpt,491383,3.1162554121470943e7,3.611370149242218e7
FromLSOpt,565145,4.100800260874031e7,2.699751552841726e7
FromLSOpt,253812,3.430871223243557e7,2.6314553956863474e7
FromLSOpt,626794,4.120637965502062e7,2.622641878461019e7
FromLSOpt,234104,3.1716954308905456e7,2.9366672664940115e7
FromLSOpt,124792,5.880990375778724e7,2.44703400148213e7
FromLSOpt,609875,3.881409398127316e7,3.844167184547419e7
FromLSOpt,672793,4.141886459333788e7,3.2404792832415313e7
FromLSOpt,761916,3.226385092295163e7,4.993383828525183e7
FromLSOpt,588872,4.4804629134346366e7,2.690784160024496e7
FromLSOpt,365854,3.8909483191709e7,3.355163962502797e7
FromLSOpt,131025,3.5658960796307355e7,2.710587846644432e7
FromLSOpt,946454,4.283750251706599e7,2.5772549278917864e7
FromLSOpt,574324,5.39187018805401e7,4.8969564682173565e7
FromLSOpt,677650,5.0920422240523845e7,2.7410065334061384e7
FromLSOpt,571586,4.919062812225499e7,3.4628470631467916e7
FromLSOpt,72716,2.866731500399854e7,3.718714140483089e7
FromLSOpt,701116,4.003208358803258e7,3.0632035889874123e7
FromLSOpt,95217,3.735152127015913e7,3.256465377815716e7
FromLSOpt,845515,5.2557085124240294e7,1.7059880067835826e7
FromLSOpt,348995,4.422512618017082e7,2.5435524009981282e7
FromLSOpt,768309,3.1423993827709317e7,3.513656127345025e7
FromLSOpt,269059,5.200734640487932e7,2.1894509552020647e7
FromLSOpt,539631,4.417258860844365e7,5.063985427053241e7
FromLSOpt,293905,4.905489187696725e7,2.347550965095689e7
FromLSOpt,242194,4.498026571242199e7,2.469762970165716e7
FromLSOpt,978070,3.8999824307910874e7,2.3839003114325102e7
FromLSOpt,853242,4.332068073437677e7,3.317190903131132e7
FromLSOpt,706065,5.060693606396641e7,1.6700336341608368e7
FromLSOpt,442139,4.203194167313563e7,3.1063150564412557e7
FromLSOpt,884577,3.950592101265145e7,2.3439814432299368e7
FromLSOpt,520741,4.2136184562972605e7,2.992316471077696e7
FromLSOpt,941831,4.841000785583456e7,3.512469068456791e7
FromLSOpt,810699,3.827454218119812e7,2.851074520809018e7
FromLSOpt,464848,4.039127815494105e7,3.8192382439994186e7
FromLSOpt,977013,4.986266740505008e7,2.4717889652655765e7
FromLSOpt,500161,4.5010999395817064e7,2.536098045291143e7
FromLSOpt,715846,4.1185489622553684e7,2.1194786368875995e7
FromLSOpt,189850,3.5193537387149125e7,3.383644759712976e7
FromLSOpt,376441,4.793450214106232e7,3.1281526347490616e7
FromLSOpt,565864,4.3379035588165596e7,2.4725030371793106e7
FromLSOpt,172235,4.081758275928822e7,3.850728357928232e7
FromLSOpt,327351,3.992835381087034e7,3.6019715564567536e7
FromLSOpt,632108,3.2695482982787352e7,4.648574239954294e7
FromLSOpt,374141,5.035369182411525e7,3.382143554796523e7
FromLSOpt,728543,3.102744092436929e7,2.7572254145702377e7
FromLSOpt,2776,3.34737722756773e7,2.698406079571546e7
FromLSOpt,134685,4.515944027923896e7,3.0975073150014114e7
FromLSOpt,531899,5.355500469974193e7,2.9099168466960765e7
FromLSOpt,73170,3.825650771998395e7,3.909142868310995e7
FromLSOpt,501756,3.866439522171828e7,4.797220146596883e7
FromLSOpt,906940,4.9888051009373404e7,2.329282341758177e7
FromLSOpt,116769,4.1340811636607274e7,3.2672122595851827e7
FromLSOpt,367197,3.7797483496988945e7,3.627245114946188e7
FromLSOpt,881164,3.296226692252512e7,2.6806357723461155e7
FromLSOpt,671891,4.9931057430731714e7,1.9379954540281124e7
FromLSOpt,479862,3.784830446990741e7,3.2107089802579235e7
FromLSOpt,949969,5.736361350218962e7,2.2982041118261263e7
FromLSOpt,26233,3.3285588390819483e7,4.568419159282335e7
FromLSOpt,347189,5.198536526719815e7,2.280218267166535e7
FromLSOpt,819254,4.163733361212044e7,2.0866686977591146e7
FromLSOpt,792832,3.6244389228073224e7,4.0650071141483374e7
FromLSOpt,967230,4.606010717325474e7,2.7127368165576987e7
FromLSOpt,471452,4.723325064398654e7,3.115520090440496e7
FromLSOpt,193780,4.791056830826518e7,2.1910823544168256e7
FromLSOpt,941781,4.586039664693812e7,3.182735851379755e7
FromLSOpt,669388,3.764297042424108e7,3.591999900872368e7
FromLSOpt,892109,3.878624040038639e7,2.5147600586320106e7
FromLSOpt,356715,4.906656091768497e7,3.3077632551849026e7
FromLSOpt,728948,5.294075503833905e7,2.9436731399348512e7
FromLSOpt,400910,4.926560631127368e7,2.873243072071962e7
FromLSOpt,314519,4.5579405911311716e7,2.110906921433758e7
FromLSOpt,804720,3.655632574165185e7,2.8129745301059496e7
FromLSOpt,108778,3.8781744555224836e7,1.5176192917529125e7
FromLSOpt,498061,5.5621416817428805e7,3.090640255765912e7
FromLSOpt,553733,4.239161640361938e7,3.0837761233471304e7
FromLSOpt,488934,4.4189155626161315e7,2.6215640355923697e7
FromLSOpt,491581,4.5579495870528415e7,2.4121856621516608e7
FromLSOpt,932783,4.1797955879144214e7,3.103301271340978e7
