Blocks,Seed,TrainingError,TestError
Original,325977,1.5706999700131449e-25,221.19016398597134
Original,549051,3.552685160841381e-27,154.7914393453873
Original,218586,3.7913907729757657e-26,108.61946819179238
Original,894246,1.320587051706995e-27,193.32374962354857
Original,353111,2.7669528132592293e-26,732.6297174460685
Original,394255,5.644306758352388e-27,369.0253182079384
Original,953125,4.680733914520073e-27,2024.2372402097676
Original,795547,1.1466755777288276e-26,376.2425387759082
Original,494250,1.366732718360502e-26,294.3806419362164
Original,748415,8.309401094639012e-26,491.3544127761604
Original,578232,1.0848303657255574e-26,1060.6564066956514
Original,727935,2.5779546055803034e-26,228.80240521725833
Original,7448,1.50362168592438e-28,46.08804876024725
Original,199376,1.2474224368264816e-26,214.68804928523429
Original,439243,1.1631732669661436e-26,346.29905349485216
Original,682533,2.015422362224671e-26,76.19983329949478
Original,956741,2.5565596039025012e-26,604.4544830061211
Original,647855,1.2849178276533723e-26,708.3193595932728
Original,996666,2.127589061446168e-26,923.9958062940278
Original,749194,7.890625163824151e-27,368.5356157522954
Original,110084,3.1537672914604526e-27,134.56960625725517
Original,491383,1.0829642744245423e-26,223.63635063813197
Original,565145,1.9907299758890832e-27,319.1491692444473
Original,253812,6.117469949313173e-28,37.726871130273445
Original,626794,1.908190588855474e-27,131.96307149429703
Original,234104,6.922110383754538e-27,209.51753761321555
Original,124792,8.955497974574849e-27,353.6396570544495
Original,609875,7.44645636669363e-27,451.9064777655108
Original,672793,1.2428716954794879e-26,450.72642959565235
Original,761916,2.0108086814870946e-26,196.6197289726679
Original,588872,1.3548358947229123e-25,528.5282062567884
Original,365854,4.732720926694906e-27,261.6208554125093
Original,131025,4.853641714181847e-26,694.9753950789615
Original,946454,1.81234298738755e-26,2413.2483395876957
Original,574324,7.125509470936981e-27,292.99893867559325
Original,677650,3.556730646793416e-24,823.1361093012855
Original,571586,5.357021903375717e-27,898.9404925092575
Original,72716,1.206394813444387e-27,235.64118356526257
Original,701116,3.334166838235272e-27,306.94627096770085
Original,95217,2.4013912031059126e-26,2012.9321489582367
Original,845515,3.5137522559039994e-26,1971.055879292108
Original,348995,3.9186056872991335e-27,362.35696127432493
Original,768309,4.3276820667647266e-26,1826.2423292124624
Original,269059,1.0688510597920726e-26,616.1298707779102
Original,539631,9.307026642855778e-26,400.69824050588994
Original,293905,5.034011096078912e-27,322.9570632916699
Original,242194,1.0141709273313651e-25,2224.5189325141146
Original,978070,1.3216643398806874e-26,1298.0282756127156
Original,853242,3.939542779873358e-26,206.18404908559046
Original,706065,4.3417203242037607e-26,1720.5386662610147
Original,442139,2.860807924643888e-27,722.0407873396412
Original,884577,9.736638645169039e-27,152.3880040965373
Original,520741,3.217219749780212e-26,451.1233449945244
Original,941831,6.914331706783554e-26,364.73319397148384
Original,810699,9.699723450367544e-26,3591.4995844674586
Original,464848,3.9727690003111246e-27,522.4673693239627
Original,977013,8.933718018019763e-27,1793.7425766580357
Original,500161,3.345568408987662e-24,982.9016749817371
Original,715846,2.0546876441518545e-25,376.7500862564229
Original,189850,3.1372320273299215e-27,1352.9276725457678
Original,376441,1.649056791875369e-26,291.00562120225595
Original,565864,1.5197802513985574e-26,812.9085825908649
Original,172235,5.119697491160249e-26,659.9280972656227
Original,327351,1.2168035403474267e-26,1259.2704713354842
Original,632108,2.4366049832462866e-26,202.34563425715305
Original,374141,6.943144620235158e-27,436.1330444491877
Original,728543,2.9867962469264847e-25,312.8650887262751
Original,2776,1.0114859036549773e-25,409.84230018940036
Original,134685,3.7035612030523146e-26,440.71454292058723
Original,531899,6.351155278380123e-26,2053.1664780234264
Original,73170,3.564651425809045e-26,706.5477439158933
Original,501756,3.7539771956529126e-27,704.6495613409842
Original,906940,2.4227952951730523e-26,158.71374120273802
Original,116769,1.8555907457723363e-26,603.3281530572347
Original,367197,2.806657707955519e-26,661.2955426952846
Original,881164,3.59970034634618e-26,1108.0351509479317
Original,671891,7.89010434421894e-27,208.47160630937785
Original,479862,4.6522370846909414e-27,445.7193234709398
Original,949969,4.697320071349384e-27,283.1426869106134
Original,26233,9.794969237246446e-27,607.281433663518
Original,347189,2.695878217554365e-28,78.84754329962247
Original,819254,4.9159578305009944e-26,286.87933095621173
Original,792832,5.3224791942651656e-27,155.97357104652374
Original,967230,6.194876155266007e-27,138.1393904513837
Original,471452,2.2247510715825373e-27,85.08393514757442
Original,193780,1.8972394122280179e-25,940.2738614598803
Original,941781,1.3269272130839178e-26,160.06869810049167
Original,669388,1.413090965550152e-26,243.09112676997555
Original,892109,1.8313939782486373e-26,244.89331115893754
Original,356715,5.5248928906763086e-27,293.19412054583216
Original,728948,7.192488607159151e-27,218.39123111354266
Original,400910,5.448104523049634e-27,208.11518487070236
Original,314519,8.170938056105643e-27,292.18278337790673
Original,804720,3.582316748593745e-27,391.5610973663346
Original,108778,2.3974888838525951e-26,420.8902104149988
Original,498061,7.303928306345241e-27,178.43129356314947
Original,553733,1.1486539700048999e-26,331.07075543411344
Original,488934,9.576380810790362e-27,387.37552750940864
Original,491581,2.4912052512440602e-26,714.8963306683688
Original,932783,4.1553285930743707e-26,329.47423308128907
