Blocks,Seed,TrainingError,TestError
FromLS,325977,9.355644009481313e-27,107.36472605760824
FromLS,549051,3.126114428207076e-26,55.29844970659334
FromLS,218586,2.4179627710158953e-27,43.018307682564085
FromLS,894246,6.567325439790487e-27,57.55480435507282
FromLS,353111,1.0743075467326122e-26,38.248924754655086
FromLS,394255,1.2011673051297605e-26,423.09050451870996
FromLS,953125,2.8637869530818663e-27,21.155631730221515
FromLS,795547,1.1090244176880349e-27,91.5063022589728
FromLS,494250,1.0075216551613331e-26,236.36650809345306
FromLS,748415,1.2123977059694487e-26,88.41823109475142
FromLS,578232,1.1045859448160306e-26,31.631034415236215
FromLS,727935,6.090334414916983e-27,98.96396991280119
FromLS,7448,6.648441323853951e-27,27.565603043105494
FromLS,199376,4.668945104737484e-27,33.21601246384127
FromLS,439243,2.1604768768086376e-26,46.923115320276
FromLS,682533,7.339587332599808e-27,42.43876893802052
FromLS,956741,1.0316825377953434e-26,48.98346879347745
FromLS,647855,2.8203348920485792e-27,40.40118833733776
FromLS,996666,4.39268899129085e-27,131.64402479837977
FromLS,749194,6.010204895874537e-27,18.085442073966593
FromLS,110084,1.0338977424173776e-27,33.56152711606429
FromLS,491383,1.9639231495861517e-27,85.58019448811383
FromLS,565145,2.434176467438437e-26,165.49595999805922
FromLS,253812,9.901147729158708e-27,79.02253049265231
FromLS,626794,2.935398040646864e-26,52.45817556096748
FromLS,234104,1.2373616773161441e-26,115.18721767812586
FromLS,124792,4.7247197518522716e-26,16.371214905061024
FromLS,609875,1.9188993178659508e-26,62.85701465158803
FromLS,672793,1.517982390980647e-26,219.22673957572022
FromLS,761916,8.472631900405992e-27,39.41263914008039
FromLS,588872,2.678890590998496e-26,82.84655299438691
FromLS,365854,8.040738258517266e-27,104.4936581663015
FromLS,131025,1.0980332991994622e-26,23.12757477193683
FromLS,946454,4.630183501639006e-27,45.14593249506959
FromLS,574324,2.519258963111587e-26,154.02121940561196
FromLS,677650,6.4400085185876145e-27,69.34188563873417
FromLS,571586,1.4306624221204808e-26,80.8957974407779
FromLS,72716,8.36295019007314e-28,36.26570047755
FromLS,701116,2.9044543120085638e-27,27.795946476815736
FromLS,95217,4.2671412293348916e-27,22.638343845533335
FromLS,845515,1.7379955433723917e-26,21.00475362487315
FromLS,348995,2.3753649176908423e-26,169.92776325590253
FromLS,768309,5.52799440825875e-26,42.1348543768187
FromLS,269059,1.0745695570930277e-26,24.55178419738245
FromLS,539631,1.3534635232668606e-26,38.835553111127
FromLS,293905,4.633905760886998e-26,1569.0402161835127
FromLS,242194,4.534764535139505e-26,14.873264887747315
FromLS,978070,4.5210789443622374e-27,55.12574562094845
FromLS,853242,1.9148373005016448e-26,30.990184195901954
FromLS,706065,6.3571619457278754e-27,84.22510375491869
FromLS,442139,5.7650640584611745e-27,52.58848884462032
FromLS,884577,3.0992388991682034e-26,84.46629613032295
FromLS,520741,2.5618452030790753e-26,71.2503298720702
FromLS,941831,7.3469952295379e-27,50.728417338376225
FromLS,810699,5.927316202926914e-26,41.76760488188621
FromLS,464848,1.2074503540171474e-25,408.8287900994324
FromLS,977013,1.366224889152766e-26,103.54027351262847
FromLS,500161,6.028556466017021e-26,107.35892129167708
FromLS,715846,1.3252347058487903e-27,45.69271692033961
FromLS,189850,9.734924952704523e-27,102.90234688970047
FromLS,376441,4.525388453354047e-27,51.066633485692165
FromLS,565864,1.4332346941542044e-27,48.30348658839832
FromLS,172235,6.012861759566243e-26,73.82174404908893
FromLS,327351,4.927093480402244e-27,160.03784137624123
FromLS,632108,2.5650047922641646e-26,23.49920440943717
FromLS,374141,2.8242680743292554e-27,39.27794056443222
FromLS,728543,2.6961948404372223e-27,77.3922059455155
FromLS,2776,8.594196020716731e-27,77.19651801079944
FromLS,134685,1.7884436075213886e-26,40.96719088597718
FromLS,531899,8.327445141917626e-27,51.51974499779199
FromLS,73170,4.212668997159821e-27,109.1365898516706
FromLS,501756,2.6692975965382266e-26,48.45524010453153
FromLS,906940,1.5039511439266105e-26,120.38656538030006
FromLS,116769,1.9312068046566873e-26,156.13687682530585
FromLS,367197,1.3544362815928215e-27,49.140547827899326
FromLS,881164,6.620222482752992e-26,40.54007246602124
FromLS,671891,7.880867632353908e-27,65.85375146524187
FromLS,479862,5.9101239463144544e-27,32.756110666882286
FromLS,949969,2.932178458744007e-27,61.868050024170486
FromLS,26233,1.2297060443981878e-26,108.93432693525502
FromLS,347189,1.4321845423334284e-26,164.48108072788372
FromLS,819254,1.7475193346558612e-26,19.11178709957091
FromLS,792832,9.49284860687042e-27,36.517067859924566
FromLS,967230,8.879954961398464e-27,42.54259819453813
FromLS,471452,1.5349725260602683e-26,82.3005919789943
FromLS,193780,7.317272111964928e-27,69.53859712626054
FromLS,941781,5.9215581923942815e-27,44.12526287904252
FromLS,669388,3.366180878366041e-26,61.12586822968951
FromLS,892109,5.984632056220398e-26,34.58121446163319
FromLS,356715,6.514183784465745e-27,146.92248885763817
FromLS,728948,1.9124139991491196e-26,45.41236961351638
FromLS,400910,7.842689877927336e-27,33.49516366047364
FromLS,314519,7.69616859142299e-27,73.69430186936835
FromLS,804720,3.010082214253499e-26,54.83699014876144
FromLS,108778,4.822844818442507e-27,131.1839437905685
FromLS,498061,4.7055338255244555e-27,41.969587139045096
FromLS,553733,5.9682980565838806e-27,43.59515464602976
FromLS,488934,6.733665099127437e-27,25.326151784043496
FromLS,491581,4.483838777771577e-27,41.70904539637629
FromLS,932783,8.605528818436738e-27,36.60168732164545
