Seed,TrainingError,TestError
325977,2178.8227899051835,28347.531521638055
549051,1729.362322753993,30768.72164257998
218586,2551.459460665721,29381.87186343975
894246,1673.647018026883,26476.534453869815
353111,1921.0389919277143,26731.525438583685
394255,2134.9932047028205,27943.256191661036
953125,1633.5646750337005,28106.647413640887
795547,1353.125285270478,29232.41757624678
494250,1115.6213041461806,20649.55100095879
748415,1577.7240513007955,29267.21427614124
578232,1540.2118594077913,26060.649702760653
727935,1730.1565412674881,27991.146685266547
7448,1320.3373246170722,33865.547467322904
199376,1049.7600725857078,23954.252075699686
439243,1237.4830684730641,30666.034074588348
682533,1717.3320652468,29969.288790888168
956741,1621.0188287772871,31400.484537390097
647855,1614.2169462678658,30728.861193283192
996666,1582.6656418575353,28547.658350310732
749194,1806.7957113662583,26064.681837436245
110084,1292.8538737778163,26194.8231725791
491383,1131.7288438103774,26390.700747976454
565145,2031.1747320409058,29836.739757398886
253812,1843.1763858611191,30674.284729548708
626794,1665.8610589279997,26141.768349922288
234104,1270.143399641444,27190.07786336351
124792,1903.3591728410988,26178.579190490665
609875,1590.6446105661212,31224.631900192853
672793,1258.7251606932589,26101.146192257875
761916,1561.1704519450795,30821.41251840596
588872,1101.8416507264303,26953.170475810737
365854,2065.4688532525606,28659.107507009463
131025,1763.6048645810952,29505.208706782912
946454,1482.5076383945,29662.28871466583
574324,1967.9075194667237,28706.944827053412
677650,1362.050723569635,30220.74034675836
571586,1473.1108619580214,28045.690074227987
72716,1797.8312041962195,29364.93185281514
701116,982.4643168874732,29850.22921758592
95217,2004.6519806580027,26709.48048357111
845515,1851.6573893552115,27603.9001554594
348995,2024.891513251474,28187.178111850735
768309,2048.5394951585895,30346.622120805634
269059,1122.7448942360015,27595.94560008597
539631,1806.511028655181,30013.61826173342
293905,1687.63882307953,30860.35830747574
242194,1416.5305895544539,28897.464816691456
978070,1353.4123555713302,25182.012773887956
853242,1472.4122974443076,24568.539910956322
706065,1349.4453679473413,26080.745795896313
442139,1388.6717740450263,26402.94237199302
884577,1649.3822576168932,28093.387560228373
520741,1919.5232450256804,27352.108228695073
941831,1639.745400529288,25842.17905801374
810699,1459.230493920912,28926.443329156296
464848,1815.545084955948,27840.380465605147
977013,1462.5523739452003,27238.7594957537
500161,1454.1397537857285,33057.47831206028
715846,1683.9179012078462,28061.0854964066
189850,1761.89454896837,28048.226584076867
376441,1978.1575306245222,27974.68164521915
565864,1527.3138612366192,30419.853755032906
172235,1863.9272517193072,27974.019717819978
327351,1776.5538614464676,28756.169256381567
632108,2088.4976555092862,29006.521545616102
374141,1295.310106113848,25989.063234665842
728543,1519.6172381733013,26863.70905052981
2776,1356.3997101209238,23438.22161555541
134685,1089.149653307452,29947.481802257204
531899,1461.447637547617,28180.78490824435
73170,1333.553525504673,26332.112585065886
501756,2000.2555016532906,29805.98131658823
906940,1743.9152613478568,25381.26394519715
116769,1979.0135808263735,27955.642610594077
367197,2205.6370335136417,28572.38789684751
881164,1650.5646386832243,26526.475408056518
671891,1675.0519765293793,26069.67019857239
479862,1423.0744455784402,30318.480632551946
949969,1156.8387837200535,25841.340553274535
26233,2107.836240693954,27736.494392698532
347189,1869.469463144183,31680.727145716104
819254,2003.1556398731952,30584.268740156367
792832,1517.8392814633203,30763.98645417255
967230,1761.42113957221,25793.197503207328
471452,1574.0970704527895,27527.31292881403
193780,1861.3290110227074,27391.701265872376
941781,1261.982332028118,27013.97794561619
669388,1546.099463486797,27917.566948257074
892109,1576.8603871788923,29935.40396450868
356715,1729.110760805248,29157.6964239084
728948,1280.6835507271448,27505.188229640695
400910,1396.9128892558658,26377.640107400097
314519,2268.749283355936,26620.550679632724
804720,2003.344138934996,30188.41684973948
108778,2137.442623392679,29255.98637214122
498061,2086.427230382808,28203.81512876165
553733,1656.417672129708,30701.612587421405
488934,1588.2830384643567,29608.065804505735
491581,1642.0175504225826,30839.547400866795
932783,1950.1061269645295,25409.643553260554
