Seed,TrainingError,TestError
325977,3.0926878787217084e6,2.178219073929592e6
549051,3.0941481876627305e6,2.2176991077582575e6
218586,3.1587952358933613e6,2.118874737677695e6
894246,3.034744820070494e6,2.2466232183714034e6
353111,3.065168902275921e6,2.2180161582276784e6
394255,3.0569265909780394e6,2.229316881217872e6
953125,3.0933100373020135e6,2.1479982559030503e6
795547,3.060239372823477e6,2.202788233516979e6
494250,2.9915017444355357e6,2.2841321681759246e6
748415,3.1002471222597994e6,2.2324224489754112e6
578232,3.0378643305936423e6,2.207048070629049e6
727935,3.0445904296140396e6,2.2041803987498097e6
7448,3.096643049550118e6,2.1950689242127044e6
199376,3.0561845246776463e6,2.170307066880339e6
439243,3.1132123522839905e6,2.1689577487091897e6
682533,3.053666023106525e6,2.212326131718928e6
956741,3.0915190073362314e6,2.1993736217300044e6
647855,3.1083691892204466e6,2.1218034677621555e6
996666,3.1112440702028293e6,2.1585137281238856e6
749194,3.037771133919914e6,2.189015323684557e6
110084,3.0846924197923234e6,2.1836524674167465e6
491383,3.160842658111705e6,2.1784434278524104e6
565145,3.095232619529259e6,2.225586203387718e6
253812,2.9963829537497703e6,2.2619362353387475e6
626794,3.067993900622434e6,2.159059922692596e6
234104,3.109392990743692e6,2.1903886014182763e6
124792,3.058965310179666e6,2.2428763415137473e6
609875,3.069320947773508e6,2.1936434123242493e6
672793,3.06430019608974e6,2.2505085423945864e6
761916,3.0560251664511105e6,2.241445513023128e6
588872,3.059640430561765e6,2.252272875370224e6
365854,3.0904349187860666e6,2.2120503616178683e6
131025,3.09184592469804e6,2.2037667905394607e6
946454,3.020293124754167e6,2.2363883068944626e6
574324,3.08279858929508e6,2.2532800820789603e6
677650,3.1324857482632287e6,2.1246290035134023e6
571586,3.089433045324537e6,2.1810324445434366e6
72716,3.032591832287371e6,2.2716049905066886e6
701116,3.0631248811672144e6,2.184899649656507e6
95217,3.0769310314397216e6,2.177937647896188e6
845515,3.106239775458255e6,2.1947296071897172e6
348995,3.100220402884691e6,2.184114720562511e6
768309,3.0579655696056625e6,2.17208070187045e6
269059,3.043633831546243e6,2.2615275598860383e6
539631,3.0459184224867877e6,2.1316796137259156e6
293905,3.0563441203302196e6,2.1879525928384713e6
242194,3.0287103268016004e6,2.293610579095855e6
978070,3.0854295049495935e6,2.1824362810082193e6
853242,3.0861849212469934e6,2.244066970627976e6
706065,3.1247161964422306e6,2.1869853558366494e6
442139,3.0057318216829915e6,2.2629260018253177e6
884577,3.1409422800872438e6,2.1548240975254145e6
520741,3.0704776494509894e6,2.2492124214069117e6
941831,3.1746324484553793e6,2.1435063239314714e6
810699,3.0045987570193643e6,2.233210717797205e6
464848,3.1445807789327586e6,2.128841321326252e6
977013,3.063838492268037e6,2.232729875773454e6
500161,3.0325128587116664e6,2.297104599371565e6
715846,3.096185849448689e6,2.1853499243486356e6
189850,3.0758142685155505e6,2.2150448081187867e6
376441,3.051927724223723e6,2.1936730598629457e6
565864,3.0492932463977006e6,2.237799351373232e6
172235,3.0630969858618104e6,2.2229299571293937e6
327351,3.0698677210570974e6,2.161104457264903e6
632108,3.1193120843523243e6,2.2171993071949175e6
374141,3.104893112201021e6,2.1872545205783737e6
728543,3.094781977850626e6,2.163378759185837e6
2776,3.079259847875327e6,2.1715380961563084e6
134685,3.0899557000829903e6,2.2188139953279914e6
531899,3.067352402893801e6,2.190355742695095e6
73170,3.104055579160005e6,2.181278709632314e6
501756,3.0743496786113176e6,2.199811960552766e6
906940,3.09542230173969e6,2.19258868601218e6
116769,3.144253517850588e6,2.1498246585532487e6
367197,3.090634995803993e6,2.1978650735565973e6
881164,3.049318183975159e6,2.2064687808556072e6
671891,3.0659571067101313e6,2.216480770802056e6
479862,3.101760705828268e6,2.152745678740084e6
949969,3.0756030165725662e6,2.1782379023841284e6
26233,3.0821929463066934e6,2.1672534226207547e6
347189,3.1257589519319218e6,2.175756296620398e6
819254,3.1104093282236503e6,2.20913794448789e6
792832,3.0501790442632465e6,2.214885118241711e6
967230,3.02364019992024e6,2.2521283778506257e6
471452,3.049646229786943e6,2.2511132518378375e6
193780,3.055949208272287e6,2.1660906440401543e6
941781,3.0919849153549154e6,2.22375790310778e6
669388,3.111179879459394e6,2.173743760658914e6
892109,3.049760424152204e6,2.243319784792745e6
356715,3.047170959218763e6,2.2504831871375414e6
728948,3.0170507994423485e6,2.237106582228464e6
400910,3.121816057556345e6,2.149783266840791e6
314519,3.060140751968549e6,2.1862711859645518e6
804720,3.02786632080816e6,2.261763735991651e6
108778,3.076359843459268e6,2.1529720094146067e6
498061,3.0514614148497274e6,2.251876860671861e6
553733,3.0627641155821737e6,2.2452581539340103e6
488934,3.020602284126999e6,2.280970953847713e6
491581,3.130765760496934e6,2.1382952559991092e6
932783,3.132485971124826e6,2.174993873148936e6
