Seed,TrainingError,TestError
325977,7.607848031780746e6,5.470671176927682e6
549051,7.688500426659739e6,5.430747743415341e6
218586,7.67860845319236e6,5.377178179061569e6
894246,7.685825476179012e6,5.329704488128856e6
353111,7.637465959711946e6,5.342162413351809e6
394255,7.602085264210515e6,5.553090811976424e6
953125,7.582973135999484e6,5.49772626381954e6
795547,7.626418611567442e6,5.373379188344618e6
494250,7.547042518528139e6,5.552607151861261e6
748415,7.586912650556877e6,5.450165795813639e6
578232,7.594467573646097e6,5.565473212625653e6
727935,7.766856324087938e6,5.374922126245744e6
7448,7.533689822257595e6,5.643866500191011e6
199376,7.585447504941126e6,5.362601217960734e6
439243,7.677624887685063e6,5.331365940264214e6
682533,7.674925590749261e6,5.383336218256095e6
956741,7.6342524898066465e6,5.422750334705971e6
647855,7.712388263174757e6,5.28436602980331e6
996666,7.616949405414138e6,5.436953797834652e6
749194,7.628405998280825e6,5.399457985152864e6
110084,7.475021380060986e6,5.45591399305106e6
491383,7.666658779311867e6,5.414647390990376e6
565145,7.646199975326445e6,5.4803025067910515e6
253812,7.69459492522604e6,5.245082627471296e6
626794,7.56290426629496e6,5.397904301064984e6
234104,7.699737211680446e6,5.4121870019529145e6
124792,7.647383851428533e6,5.439789297421385e6
609875,7.670811585888752e6,5.329307618699253e6
672793,7.703320701798031e6,5.353951205114428e6
761916,7.639714901170448e6,5.390424362414662e6
588872,7.5265015962030105e6,5.552219692698862e6
365854,7.702533245070035e6,5.323685626368329e6
131025,7.590203477668073e6,5.511703123479975e6
946454,7.624885694909295e6,5.444750653298942e6
574324,7.579178805307226e6,5.427677977018725e6
677650,7.709556206011625e6,5.344780518490174e6
571586,7.554921854674585e6,5.431169870592441e6
72716,7.588253699180588e6,5.40833929157868e6
701116,7.685181219048339e6,5.333273151077608e6
95217,7.575966722586392e6,5.416755630220092e6
845515,7.61412681409305e6,5.483380554554958e6
348995,7.70769920331048e6,5.325293783927497e6
768309,7.641315684963876e6,5.302278096241305e6
269059,7.481610230387969e6,5.421098553076344e6
539631,7.605117995238258e6,5.41347002880741e6
293905,7.591722038316879e6,5.508039073479027e6
242194,7.607059377550888e6,5.53007265418016e6
978070,7.541478961874634e6,5.413866092126571e6
853242,7.73859137334533e6,5.392692137209641e6
706065,7.680347228446328e6,5.422361053800618e6
442139,7.61608646500646e6,5.453387998953029e6
884577,7.63153041951675e6,5.477814424946459e6
520741,7.837181132943999e6,5.2187426314125415e6
941831,7.703146975413749e6,5.417813134032663e6
810699,7.632187268580718e6,5.336541769908018e6
464848,7.524215064870651e6,5.41144337242405e6
977013,7.631559821269136e6,5.387969356774531e6
500161,7.5958736924068425e6,5.43197357624111e6
715846,7.575298276336844e6,5.410639691584706e6
189850,7.566429085586242e6,5.515000354287336e6
376441,7.656622328847332e6,5.3850550507783005e6
565864,7.730046199439684e6,5.400673252885179e6
172235,7.734950302888956e6,5.300478204122218e6
327351,7.564495601407291e6,5.408625461135537e6
632108,7.547665206889376e6,5.499857427043097e6
374141,7.641281754779281e6,5.4011740563107915e6
728543,7.605769529015997e6,5.394005505464741e6
2776,7.660000448295983e6,5.433573852507299e6
134685,7.719826256025191e6,5.389783271562396e6
531899,7.699785239526594e6,5.2990267991528865e6
73170,7.633820997974693e6,5.425157229544487e6
501756,7.59158886625338e6,5.42952262843165e6
906940,7.650206053717224e6,5.357001152111758e6
116769,7.588121496661533e6,5.4198281815262325e6
367197,7.620171557824923e6,5.378646995131734e6
881164,7.543118504238637e6,5.514918958687468e6
671891,7.689965541225208e6,5.3244726197386095e6
479862,7.530146143762672e6,5.569600295350514e6
949969,7.674582164240146e6,5.227615499000624e6
26233,7.624077637357567e6,5.475391178304978e6
347189,7.59416363832186e6,5.501265952287039e6
819254,7.7481202223816225e6,5.428427405596325e6
792832,7.712413173575956e6,5.406414228835368e6
967230,7.662339208146298e6,5.319610426362032e6
471452,7.525127234313713e6,5.560875015834998e6
193780,7.622825998601136e6,5.447224614947017e6
941781,7.639845954717831e6,5.313813694961104e6
669388,7.528085884878958e6,5.391910423134105e6
892109,7.545259653918147e6,5.568284565783538e6
356715,7.469238599775685e6,5.584064632851431e6
728948,7.582739799082974e6,5.381488357029275e6
400910,7.633396642785595e6,5.398479008173942e6
314519,7.645755714050422e6,5.317316204392236e6
804720,7.651213308928156e6,5.411994254127241e6
108778,7.685381873032003e6,5.481827675758818e6
498061,7.528328486141234e6,5.545103078853221e6
553733,7.622662859981613e6,5.472853226488307e6
488934,7.537590171810253e6,5.446028477863461e6
491581,7.707304515916634e6,5.359050291589768e6
932783,7.657912724647561e6,5.437992528895632e6
