Blocks,Seed,TrainingError,TestError
FromLS,325977,3.0926878787217075e6,2.178219073929592e6
FromLS,549051,3.0941481876627305e6,2.2176991077582873e6
FromLS,218586,3.1587952358933603e6,2.118874737677696e6
FromLS,894246,3.0347448200704935e6,2.2466232183714043e6
FromLS,353111,3.065168902275921e6,2.21801615822767e6
FromLS,394255,3.0569265909780385e6,2.2293168812178657e6
FromLS,953125,3.0933100373020135e6,2.1479982559030633e6
FromLS,795547,3.0602393728234763e6,2.202788233516975e6
FromLS,494250,2.9915017444355357e6,2.2841321681759665e6
FromLS,748415,3.100247122259799e6,2.2324224489754066e6
FromLS,578232,3.0378643305936432e6,2.207048070629063e6
FromLS,727935,3.044590429614039e6,2.2041803987498283e6
FromLS,7448,3.0966430495501175e6,2.1950689242126807e6
FromLS,199376,3.0561845246776473e6,2.1703070668803495e6
FromLS,439243,3.113212352283991e6,2.1689577487091827e6
FromLS,682533,3.0536660231065257e6,2.2123261317189457e6
FromLS,956741,3.0915190073362314e6,2.19937362173003e6
FromLS,647855,3.108369189220446e6,2.121803467762187e6
FromLS,996666,3.11124407020283e6,2.1585137281238744e6
FromLS,749194,3.0377711339199143e6,2.1890153236845727e6
FromLS,110084,3.0846924197923234e6,2.1836524674167223e6
FromLS,491383,3.1608426581117045e6,2.1784434278524034e6
FromLS,565145,3.0952326195292594e6,2.225586203387728e6
FromLS,253812,2.9963829537497703e6,2.2619362353387326e6
FromLS,626794,3.0679939006224335e6,2.1590599226926076e6
FromLS,234104,3.1093929907436916e6,2.1903886014182735e6
FromLS,124792,3.058965310179667e6,2.242876341513764e6
FromLS,609875,3.0693209477735073e6,2.193643412324249e6
FromLS,672793,3.0643001960897404e6,2.250508542394594e6
FromLS,761916,3.0560251664511105e6,2.241445513023126e6
FromLS,588872,3.0596404305617646e6,2.252272875370235e6
FromLS,365854,3.090434918786066e6,2.212050361617867e6
FromLS,131025,3.091845924698041e6,2.2037667905394267e6
FromLS,946454,3.0202931247541667e6,2.2363883068944626e6
FromLS,574324,3.08279858929508e6,2.2532800820789095e6
FromLS,677650,3.13248574826323e6,2.1246290035134433e6
FromLS,571586,3.089433045324537e6,2.181032444543436e6
FromLS,72716,3.032591832287371e6,2.271604990506691e6
FromLS,701116,3.0631248811672134e6,2.1848996496565137e6
FromLS,95217,3.076931031439721e6,2.1779376478961892e6
FromLS,845515,3.106239775458254e6,2.1947296071897075e6
FromLS,348995,3.100220402884691e6,2.184114720562513e6
FromLS,768309,3.0579655696056625e6,2.1720807018704205e6
FromLS,269059,3.043633831546243e6,2.2615275598860406e6
FromLS,539631,3.0459184224867877e6,2.1316796137259314e6
FromLS,293905,3.0563441203302196e6,2.187952592838482e6
FromLS,242194,3.028710326801601e6,2.293610579095837e6
FromLS,978070,3.085429504949593e6,2.1824362810082175e6
FromLS,853242,3.0861849212469934e6,2.2440669706279715e6
FromLS,706065,3.1247161964422306e6,2.1869853558366485e6
FromLS,442139,3.0057318216829924e6,2.262926001825341e6
FromLS,884577,3.1409422800872447e6,2.154824097525471e6
FromLS,520741,3.0704776494509894e6,2.24921242140688e6
FromLS,941831,3.1746324484553784e6,2.1435063239314454e6
FromLS,810699,3.004598757019364e6,2.2332107177972263e6
FromLS,464848,3.144580778932759e6,2.128841321326238e6
FromLS,977013,3.063838492268037e6,2.232729875773495e6
FromLS,500161,3.032512858711667e6,2.297104599371561e6
FromLS,715846,3.0961858494486893e6,2.1853499243486384e6
FromLS,189850,3.0758142685155505e6,2.2150448081187587e6
FromLS,376441,3.0519277242237236e6,2.193673059862945e6
FromLS,565864,3.049293246397701e6,2.237799351373249e6
FromLS,172235,3.063096985861811e6,2.222929957129378e6
FromLS,327351,3.069867721057097e6,2.1611044572649603e6
FromLS,632108,3.1193120843523247e6,2.2171993071949063e6
FromLS,374141,3.104893112201021e6,2.187254520578366e6
FromLS,728543,3.094781977850626e6,2.163378759185835e6
FromLS,2776,3.0792598478753273e6,2.1715380961563103e6
FromLS,134685,3.0899557000829894e6,2.2188139953279924e6
FromLS,531899,3.067352402893801e6,2.190355742695062e6
FromLS,73170,3.104055579160005e6,2.181278709632327e6
FromLS,501756,3.0743496786113176e6,2.199811960552752e6
FromLS,906940,3.0954223017396894e6,2.1925886860122066e6
FromLS,116769,3.144253517850589e6,2.149824658553257e6
FromLS,367197,3.0906349958039937e6,2.1978650735565997e6
FromLS,881164,3.049318183975159e6,2.2064687808556147e6
FromLS,671891,3.0659571067101303e6,2.2164807708020518e6
FromLS,479862,3.1017607058282676e6,2.1527456787400963e6
FromLS,949969,3.0756030165725662e6,2.1782379023841387e6
FromLS,26233,3.082192946306694e6,2.1672534226207486e6
FromLS,347189,3.1257589519319227e6,2.175756296620396e6
FromLS,819254,3.1104093282236513e6,2.2091379444878926e6
FromLS,792832,3.050179044263246e6,2.214885118241713e6
FromLS,967230,3.023640199920241e6,2.252128377850596e6
FromLS,471452,3.0496462297869436e6,2.2511132518378366e6
FromLS,193780,3.0559492082722876e6,2.166090644040177e6
FromLS,941781,3.0919849153549145e6,2.2237579031077963e6
FromLS,669388,3.111179879459394e6,2.1737437606589245e6
FromLS,892109,3.0497604241522043e6,2.24331978479278e6
FromLS,356715,3.0471709592187647e6,2.2504831871375586e6
FromLS,728948,3.017050799442348e6,2.2371065822284445e6
FromLS,400910,3.1218160575563456e6,2.149783266840772e6
FromLS,314519,3.060140751968549e6,2.186271185964561e6
FromLS,804720,3.02786632080816e6,2.261763735991632e6
FromLS,108778,3.076359843459267e6,2.1529720094146165e6
FromLS,498061,3.051461414849728e6,2.251876860671877e6
FromLS,553733,3.0627641155821728e6,2.2452581539340243e6
FromLS,488934,3.020602284127e6,2.280970953847699e6
FromLS,491581,3.130765760496934e6,2.138295255999091e6
FromLS,932783,3.132485971124827e6,2.174993873148937e6
