Seed,TrainingError,TestError
325977,874711.2541373268,886523.0216982417
549051,894022.0800694026,913266.3659687336
218586,908571.9341071656,898585.7131580384
894246,934908.5823340027,919560.0076492968
353111,908257.5820398352,973450.9121893629
394255,903874.1184803426,874452.2425166831
953125,924210.1817378332,938412.3842934942
795547,891739.2127707261,964988.226412497
494250,893990.4663266188,897585.0401031486
748415,871242.4291358497,900226.6913335228
578232,917068.7452056786,890246.6100972445
727935,914453.4082972016,907515.1779531573
7448,891752.2852255979,976649.9731869786
199376,904957.6991007503,907071.1393538294
439243,893983.3040920714,940792.6016039061
682533,906720.1408817158,903309.6720840591
956741,890146.2236375603,917307.1927475093
647855,906990.3637749606,944221.0897901711
996666,854940.6743807929,930874.956827034
749194,911313.3369593665,943426.8575433309
110084,889806.3666958681,919876.040688943
491383,837449.6273761479,945480.3669660477
565145,906583.5670460868,934293.0081466907
253812,870934.523628451,948240.4101808942
626794,876473.8348225271,926816.5492583837
234104,930146.671543923,924689.5345822768
124792,889986.4218833378,926495.6996476982
609875,906098.7785091184,916454.7307418562
672793,898478.7354554146,916856.2147786397
761916,950093.6448089394,895433.3808689424
588872,896207.417909581,900646.2628151659
365854,867257.6017494865,934280.0036715255
131025,869576.534027886,891704.3596310474
946454,881335.0547898969,906485.5590243568
574324,901871.3959955414,924135.7640524146
677650,908610.9309852893,929400.0714553169
571586,911969.9846863602,948122.8610673989
72716,902029.4390312621,874051.756601228
701116,914486.9402432401,906305.9742220469
95217,904150.3957466425,951165.6116897777
845515,879801.8361418342,907321.4356536388
348995,899080.5157962699,927549.2144761179
768309,941412.9434109038,928220.9898559643
269059,876073.3792559928,919168.3721522391
539631,892861.4298239355,936555.9574310347
293905,913207.0240203671,895718.4409405771
242194,922794.0153703089,901139.3625052614
978070,878887.0532780972,947446.6025331825
853242,913308.7775790098,917018.8159484661
706065,873805.8109402193,934156.2658691244
442139,898783.9497324373,904720.5316742529
884577,906544.4942618061,925954.0269301025
520741,886650.0161225752,952543.3076814846
941831,900179.9900458073,899828.3501013664
810699,876515.7997785604,909366.4562307694
464848,862647.477141257,895983.4195643306
977013,911694.5747556676,858970.9214424699
500161,894830.624374185,910435.282690644
715846,939413.0427481683,931449.9894158349
189850,897961.4518660335,926607.2151299735
376441,910982.6904935875,933548.0796981921
565864,861422.2178115275,853094.6243763675
172235,901814.4755066291,902437.0518800104
327351,915164.1095311524,929883.1917151702
632108,907359.7518941625,911493.8305176739
374141,897835.4187930236,921788.328327595
728543,891707.6264203648,927815.4610682088
2776,904764.7218647539,915334.0654011548
134685,897667.9784896828,909788.1951142993
531899,877413.5426021524,922660.4154938989
73170,909855.258914175,903730.4305832672
501756,898102.276879774,912185.9914120145
906940,891344.8599448339,920590.834526771
116769,909079.6852712348,887546.7561711785
367197,917039.0824107765,885448.2938279137
881164,933216.5279761156,917273.9648958198
671891,896152.2490608941,913739.4912372491
479862,941839.2966594064,915440.6920661415
949969,931983.056389061,906489.713626172
26233,893408.1266229677,921932.6131469868
347189,903080.8229577153,973727.0955553654
819254,928918.5991425498,895920.2214912868
792832,908274.6980056843,905691.9929124631
967230,909458.9630275774,921318.5465682681
471452,905916.8442792282,904199.3549230485
193780,905525.0543797773,907852.6789010575
941781,913519.874995851,927368.5148094972
669388,872180.6400558555,916580.1286954258
892109,875190.639356144,945471.261857944
356715,888660.609239449,942040.0668195264
728948,890059.7408237918,929442.2630672713
400910,915164.2629437357,908522.9284898932
314519,892899.3769769687,940117.4210513828
804720,878124.8146969893,929958.2361949775
108778,893380.6469938995,919363.9403267135
498061,902364.3137755082,941713.5278874275
553733,921043.1529807713,907054.5765106059
488934,908738.909175128,924017.7324537509
491581,896412.3838595955,924812.0056354748
932783,886697.7489677729,913861.2056460558
