Blocks,Seed,TrainingError,TestError
Original,325977,982824.8118509883,991050.6675493659
Original,549051,1.0006815094708249e6,1.0046534089080775e6
Original,218586,1.0038251053605367e6,996918.0870571401
Original,894246,1.0380003178598599e6,1.0237954981812919e6
Original,353111,1.0097761379788544e6,1.0752430860524178e6
Original,394255,1.0020995806008857e6,969074.7967975561
Original,953125,1.032278559483415e6,1.0298561053531413e6
Original,795547,989461.9167388999,1.0574178484080422e6
Original,494250,1.0007263955743138e6,1.0061699417806019e6
Original,748415,971345.1549494923,989546.2083488994
Original,578232,1.0199821812404897e6,998563.277688223
Original,727935,1.0291791452804303e6,1.0158361106125421e6
Original,7448,995045.6078383501,1.0742594332251754e6
Original,199376,1.004670234015064e6,1.0024921007915165e6
Original,439243,996336.0317235615,1.0408425734207836e6
Original,682533,1.012340165196888e6,996762.9339176675
Original,956741,989657.2067008468,1.0214355318553986e6
Original,647855,1.0190357856884414e6,1.0490488744370965e6
Original,996666,953964.461536855,1.0298904577749949e6
Original,749194,1.0174548433628861e6,1.0432971677412309e6
Original,110084,988616.4342516917,1.0315847488355679e6
Original,491383,941925.4846098197,1.0515163581720837e6
Original,565145,1.0236267299239261e6,1.0160515921440076e6
Original,253812,979985.1179101727,1.0435549273983869e6
Original,626794,975165.3514718825,1.026964193065902e6
Original,234104,1.0349775898906859e6,1.0180097113072717e6
Original,124792,1.0002392489701903e6,1.0309454224492492e6
Original,609875,1.0174535092024549e6,1.026640949134534e6
Original,672793,996738.3162826226,1.0213251098572443e6
Original,761916,1.0535759588287068e6,1.0000751661642101e6
Original,588872,1.0017083011196825e6,998124.6047029861
Original,365854,962646.4039561735,1.0333866651557707e6
Original,131025,982290.6041723478,977968.8264462079
Original,946454,986506.4486734454,1.0005446952686218e6
Original,574324,1.0094681770308109e6,1.0337826377583666e6
Original,677650,1.00272379150985e6,1.0285539292932798e6
Original,571586,1.022324569030845e6,1.0515262460748993e6
Original,72716,1.004450573592971e6,975870.3660425512
Original,701116,1.0076306274559281e6,999625.7314101013
Original,95217,1.0160132936229792e6,1.0343377334098577e6
Original,845515,986041.6587542803,1.0158072848049965e6
Original,348995,1.0068594398249689e6,1.030359892160371e6
Original,768309,1.0431303344730309e6,1.0233814808492694e6
Original,269059,983509.731681179,1.0292858947011245e6
Original,539631,990741.0370192456,1.03758228970431e6
Original,293905,1.0277304470075364e6,991148.1557942128
Original,242194,1.0301125257561243e6,989686.6021378203
Original,978070,973490.4444621899,1.0531323138275007e6
Original,853242,1.0118081317331651e6,1.0190806448427006e6
Original,706065,973435.4023729025,1.0327208416736135e6
Original,442139,994026.8145721988,1.0047407615254447e6
Original,884577,1.0053292724537703e6,1.0217727568428798e6
Original,520741,988394.335383992,1.0540424881544518e6
Original,941831,1.002207306823612e6,996383.4253393653
Original,810699,979511.7950131902,1.0019713594453586e6
Original,464848,971218.0288184402,1.0046958517659942e6
Original,977013,1.0124430769763868e6,950482.5347323574
Original,500161,993154.3488833394,1.0019562243053025e6
Original,715846,1.0394781630822277e6,1.0294390971948305e6
Original,189850,993961.660049426,1.0159518861035893e6
Original,376441,1.0140843387722999e6,1.027144559406073e6
Original,565864,973859.3535994218,960344.8017199319
Original,172235,1.0110095355874416e6,1.0052729754891504e6
Original,327351,1.0237881251153501e6,1.0298593881412492e6
Original,632108,1.0129447723964409e6,1.0106921379057289e6
Original,374141,996914.4803494147,1.0240561532946555e6
Original,728543,1.0050696208911978e6,1.0257839918691774e6
Original,2776,1.0111008542285337e6,1.0150115210042915e6
Original,134685,989517.356045215,996053.9146976429
Original,531899,980401.8879637157,1.0274777988522885e6
Original,73170,1.0137591986654319e6,1.0019482571528134e6
Original,501756,997648.7800711098,1.012922914445108e6
Original,906940,1.0017484962371772e6,1.026819782692679e6
Original,116769,1.0098093948189266e6,988827.55446504
Original,367197,1.018917309789966e6,978917.9140500247
Original,881164,1.0373414165560905e6,1.0236597463218495e6
Original,671891,1.0089728842399069e6,1.0145252350283882e6
Original,479862,1.0360295109521188e6,1.0056375671843592e6
Original,949969,1.0310743382806694e6,1.0048194789165375e6
Original,26233,998574.7704248826,1.0250411355237012e6
Original,347189,1.0019571134314362e6,1.0762274901032732e6
Original,819254,1.0405778539071416e6,991562.8501292387
Original,792832,1.0107008886976363e6,1.0097336659623245e6
Original,967230,1.0033332269692894e6,1.026284175465741e6
Original,471452,1.0057611659329173e6,1.016175959401578e6
Original,193780,1.0041446035276045e6,1.0055332760355709e6
Original,941781,1.0173312200082918e6,1.0303217688599642e6
Original,669388,971095.6789820998,1.0205018692565248e6
Original,892109,974478.252948955,1.051759101826857e6
Original,356715,993689.1714135831,1.0382857924607908e6
Original,728948,997057.4917101385,1.0234308287015004e6
Original,400910,1.0118103959871365e6,1.0016178878063376e6
Original,314519,992577.5833375755,1.0280021013371052e6
Original,804720,983515.9677726368,1.0344350222457958e6
Original,108778,1.0041576204572285e6,1.0179840802978761e6
Original,498061,996648.684681274,1.038272113735078e6
Original,553733,1.0249721304392586e6,1.02366800807734e6
Original,488934,1.0119760917539343e6,1.0301832881343919e6
Original,491581,1.0019919871157396e6,1.0322922285075453e6
Original,932783,991453.9267456462,1.0102290023220774e6
