Blocks,Seed,TrainingError,TestError
FromLSOpt,325977,876903.5975766242,886226.6643383233
FromLSOpt,549051,896540.3259424357,911642.5691395928
FromLSOpt,218586,909930.9494318941,898290.1499332192
FromLSOpt,894246,937582.4729079844,915879.7975770619
FromLSOpt,353111,909984.8770075915,971094.0119894424
FromLSOpt,394255,905490.7563354343,873020.5534387836
FromLSOpt,953125,926820.8642252306,935081.5781874971
FromLSOpt,795547,894658.119935394,962670.9696716715
FromLSOpt,494250,896789.0102340308,893957.436535307
FromLSOpt,748415,872595.036893184,899750.4975286872
FromLSOpt,578232,919577.6329699918,889654.9999603477
FromLSOpt,727935,916142.3399292761,906540.9008616164
FromLSOpt,7448,894165.3291564909,975652.9855397042
FromLSOpt,199376,906486.6127173897,905536.955927747
FromLSOpt,439243,896746.7863089666,939081.5360154684
FromLSOpt,682533,909052.3995277411,902674.296042596
FromLSOpt,956741,892449.7716730521,916353.2358092321
FromLSOpt,647855,910324.4427933826,941201.0845103292
FromLSOpt,996666,856791.1778456504,929058.6733693517
FromLSOpt,749194,912367.3650179335,942607.0844083929
FromLSOpt,110084,893523.5290771071,919144.6037228504
FromLSOpt,491383,838889.2570921448,944354.7606407352
FromLSOpt,565145,908433.3511721066,932550.6909734679
FromLSOpt,253812,872551.6337935049,946465.6854645824
FromLSOpt,626794,877881.988054583,927129.1577621895
FromLSOpt,234104,934039.3258797333,922232.6058023165
FromLSOpt,124792,891552.8512788811,924833.9294795357
FromLSOpt,609875,907526.3185761854,915212.4631813541
FromLSOpt,672793,900584.3483894698,917996.7302885583
FromLSOpt,761916,952547.8880480017,893716.1260745504
FromLSOpt,588872,898278.1089257719,899027.6751965707
FromLSOpt,365854,868865.2363861667,932603.1566588263
FromLSOpt,131025,871310.1767258624,890654.8075598105
FromLSOpt,946454,884656.3250761769,904525.0845766228
FromLSOpt,574324,903932.0182704,923531.3598317455
FromLSOpt,677650,910270.9956265823,927712.2160886693
FromLSOpt,571586,913541.0632612582,945528.2846885546
FromLSOpt,72716,903585.772622283,874722.6211352204
FromLSOpt,701116,916017.6576885476,906734.8790528392
FromLSOpt,95217,907171.4323157561,949934.0542514939
FromLSOpt,845515,881420.8112755782,906006.2767711589
FromLSOpt,348995,900780.7116111405,925286.9458622762
FromLSOpt,768309,942596.8807718768,927983.8859051571
FromLSOpt,269059,878000.0301807758,917225.2238798536
FromLSOpt,539631,894955.447327598,934809.3523614188
FromLSOpt,293905,915825.4451754016,891670.6024311067
FromLSOpt,242194,924991.5282243593,899719.0695998512
FromLSOpt,978070,881462.6039975518,946461.6178187352
FromLSOpt,853242,915277.8758438878,916158.3588201564
FromLSOpt,706065,877109.028319452,932761.7718743677
FromLSOpt,442139,900459.0690940795,903584.6690968634
FromLSOpt,884577,908077.4110816024,924967.6116615908
FromLSOpt,520741,889030.2189118203,951282.6068699977
FromLSOpt,941831,901628.626969086,898002.9975258864
FromLSOpt,810699,877712.50933493,908511.6225808307
FromLSOpt,464848,864465.3051514641,893485.299244894
FromLSOpt,977013,913685.3650742811,857398.0692432689
FromLSOpt,500161,896749.0959618515,908983.5409267114
FromLSOpt,715846,940506.157862462,929680.688970192
FromLSOpt,189850,900936.6910255525,923133.729556833
FromLSOpt,376441,913646.8454563967,929040.203526944
FromLSOpt,565864,863708.6656400743,851161.9786279157
FromLSOpt,172235,905097.3054680388,898823.1441763506
FromLSOpt,327351,918362.0475317754,927637.6619641148
FromLSOpt,632108,910334.0324969003,910726.9910569605
FromLSOpt,374141,902342.2235956497,918144.724732708
FromLSOpt,728543,895752.7403511672,927530.3784504638
FromLSOpt,2776,907803.4325614506,910553.8249317389
FromLSOpt,134685,899357.3959518663,909278.0315953884
FromLSOpt,531899,879308.7463589482,920821.7229371537
FromLSOpt,73170,910832.7553052661,903203.7896911997
FromLSOpt,501756,900793.1230468589,909263.4928152733
FromLSOpt,906940,893290.9619780112,920894.3678306879
FromLSOpt,116769,910896.7926517981,884984.7522534735
FromLSOpt,367197,920308.3461421451,882711.5065433389
FromLSOpt,881164,935531.933149262,916976.6136291892
FromLSOpt,671891,897810.7689399542,912257.5241980238
FromLSOpt,479862,943906.3460795931,912211.1329400896
FromLSOpt,949969,934600.475897136,902114.5861351105
FromLSOpt,26233,895840.2806565356,920088.4749166821
FromLSOpt,347189,905430.73474486,969314.3335535858
FromLSOpt,819254,930069.0209999538,895207.4675336133
FromLSOpt,792832,911387.7771508314,904766.7376016208
FromLSOpt,967230,911902.784313668,920500.0164589016
FromLSOpt,471452,908017.1729374202,902461.2918601613
FromLSOpt,193780,908614.6695209066,904399.4252514897
FromLSOpt,941781,915473.2557224879,924934.6214728795
FromLSOpt,669388,873568.9052450429,917025.3935383066
FromLSOpt,892109,877666.4217245844,943467.4331593083
FromLSOpt,356715,890772.9234474348,940813.0988546273
FromLSOpt,728948,891323.4696912295,929505.2600523018
FromLSOpt,400910,916951.0714113393,906243.0588677605
FromLSOpt,314519,894137.707360596,937697.1312961846
FromLSOpt,804720,881114.6298927262,927174.3023148207
FromLSOpt,108778,895336.835825395,916790.0701294895
FromLSOpt,498061,904832.6984287067,938171.4362689892
FromLSOpt,553733,921910.4550176074,907644.6300495854
FromLSOpt,488934,910845.924913904,923214.6204307333
FromLSOpt,491581,899406.8762295613,922208.9587886063
FromLSOpt,932783,889270.1388373203,912504.018005623
