Objects;V;S;R;G;W1;W2;W3;W4;W5;W6;W7;W8;D1;D2;D3;D4;D5;D6;D7;D8;WO1;WO2;WO3;WO4;WO5;WO6;WN1;WN2;WN3;WN4;WN5;WN6;IW1;IW2;IW3;IW4;CW1;CW2;CW3;CW4;CW5;CW6;CW7;CW8;ID1;ID2;ID3;ID4;CD1;CD2;CD3;CD4;CD5;CD6;CD7;CD8;HL1;HL2;A;CP;PSA;HSA;PSAR;PHSAR;DRDRDR;DRDRAC;DRDRDO;DRACAC;DRACDO;DRDODO;ACACAC;ACACDO;ACDODO;DODODO;DD1;DD2;DD3;DD4;DD5;DD6;DD7;DD8;Log_Ptol
ZiSiSte_001;176.625;151.686;1.16441;0.994579;443.625;302.5;169.75;65.875;1.25;0;0;0;19.75;0.75;0;0;0;0;0;0;0;0;0;0;0;0;195.75;67.375;0.75;0;0;0;0.251592;0.53366;0.942195;0;2.92463;1.99425;1.11909;0.434286;0.00824072;0;0;0;0.173071;0;0;0;0.130203;0.00494443;0;0;0;0;0;0;2.5;0;0;0;3.4;148.286;0.0224147;0.0229287;0;0;0;0;0;0;0;0;0;0;0.125;0.125;0;0;0;0;0;0;1.202
ZiSiSte_002;321.5;245.299;1.31065;1.12366;642.625;371.25;157.25;61.5;30.75;13.375;3.125;0.125;124.5;57.5;28.75;11.375;4.75;2.5;1.5;0.25;120.375;42.625;15.75;3.625;0;0;140.5;59;31;11.75;0.875;0;0.208114;0.753808;1.53004;2.39058;2.61977;1.51346;0.641056;0.250715;0.125357;0.0545254;0.0127396;0.000509583;0.0851106;0.0826732;0.0759269;0.102362;0.507545;0.234408;0.117204;0.0463721;0.0193642;0.0101917;0.006115;0.00101917;1.06957;1.17582;4.67928;2.52443;40.46;204.839;0.164942;0.197521;4.40056;6.94617;6.94617;6.77976;6.77976;6.77976;0;0;0;0;0;0;0;0;0;0;0;0;-0.745
ZiSiSte_003;236.625;188.864;1.25288;1.03143;331.125;36.75;0;0;0;0;0;0;179;61.5;21;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00149527;0;0;0;1.75324;0.194584;0;0;0;0;0;0;0.0036808;0.0174492;0.00452716;0;0.94777;0.325631;0.111191;0.0211792;0.00529481;0;0;0;0;0;0.376627;42;0;188.864;0;0;0.830661;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;2.318
ZiSiSte_004;377.375;280.808;1.34389;1.17251;649.625;223;11;0;0;0;0;0;309.75;170.375;58.375;33.375;12.25;6.75;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0.00856457;0.0146427;0;0;2.31341;0.794136;0.0391726;0;0;0;0;0;0.00915955;0.0101896;0.00543851;0.026595;1.10307;0.606731;0.207882;0.118853;0.0436241;0.0240378;0.0106834;0.00356115;0;0;0.360747;116.75;0;280.808;0;0;4.8317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.416
ZiSiSte_005;242.5;195.718;1.23903;1.06171;501.75;367.25;204.375;91.125;44.125;15.25;0;0;49.875;13;0;0;0;0;0;0;0;0;0;0;0;0;249;111.125;49.625;14.25;0;0;0.0095765;0.0161688;0.045778;0;2.56364;1.87643;1.04423;0.465594;0.225452;0.0779184;0;0;0.00299737;0;0;0;0.254831;0.0664222;0;0;0;0;0;0;88.25;30.5;0;0;25.06;170.658;0.128042;0.146844;1.77547;2.44197;0;1.70672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.099
ZiSiSte_006;515.5;358.392;1.43837;1.23761;841.875;611.5;362.125;161.75;82.5;37.25;3.5;0.125;89.625;26.375;4;0;0;0;0;0;0;0;0;0;0;0;443;199.5;99;36;2.625;0;0.053949;0.117586;0.21243;0.599446;2.34904;1.70623;1.01042;0.451322;0.230195;0.103937;0.00976585;0.00034878;0.0420478;0.0970474;0;0;0.250075;0.0735926;0.011161;0;0;0;0;0;20.625;74.5;3.06021;0.078138;62.65;295.742;0.174809;0.21184;12.6406;12.5953;0;11.8367;0;0;9.41936;0;0;0;0;0;0;0;0;0;0;0;-1.15
ZiSiSte_007;617.75;428.67;1.44109;1.35097;958.625;662;387.25;173.125;85.625;38.125;5.25;1;121.625;40.75;4.5;1.125;0;0;0;0;0;0;0;0;0;0;477.125;214;106.125;41;4.25;0.25;0.0937218;0.220466;0.367948;0.376364;2.23628;1.54431;0.903376;0.403866;0.199746;0.0889379;0.0122472;0.0023328;0.0504694;0.0924923;0;0;0.283727;0.0950615;0.0104976;0.0026244;0;0;0;0;19.0278;33.8889;3.93421;0.0797331;75.18;353.49;0.17538;0.212679;14.9127;15.861;0;14.7534;0;0;13.0938;0;0;0;0;0;0;0;0;0;0;0;-1.59
ZiSiSte_008;247.5;200.314;1.23556;1.07712;309.5;22.875;0;0;0;0;0;0;168.125;53.125;14.5;3.25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00902399;0;0;0;1.54507;0.114196;0;0;0;0;0;0;0.0154083;0.037034;0.33801;0;0.839307;0.265209;0.0723864;0.0162245;0.00499216;0;0;0;0;0;0.714135;29;0;200.314;0;0;1.52039;0;0;0;0;0;0;0;0;0;0.125;0.125;0;0;0;0;0;0;2.775
ZiSiSte_009;502.875;345.974;1.4535;1.20332;886.75;559.25;311.75;117.875;59.875;28.75;10;0.75;216.25;118.625;59.5;39;27.375;10.75;8.25;3.625;0;0;0;0;0;0;374.375;144.625;73.875;36.125;11;0;0.0228044;0.079889;0.227451;0.273274;2.56305;1.61645;0.901078;0.340704;0.173062;0.0830986;0.0289039;0.00216779;0.0243728;0.0424647;0.0235318;0.0209837;0.625046;0.342872;0.171978;0.112725;0.0791244;0.0310717;0.0238457;0.0104777;1.0063;0.737179;1.37977;4.97036;34.14;311.834;0.0986778;0.109481;8.64075;12.5478;0;9.99596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.679
ZiSiSte_010;298.375;236.764;1.26022;1.14812;399.875;63.375;0;0;0;0;0;0;214.75;72.625;27.375;5.5;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0288416;0;0;0;1.68892;0.267671;0;0;0;0;0;0;0.0414502;0.102096;0.362235;0;0.90702;0.30674;0.115621;0.0232299;0.0010559;0;0;0;0;0;1.77966;54.75;0;236.764;0;0;1.08847;0;0;0;0;0;0;0;0;0;0.125;0.125;0.125;0;0;0;0;0;3.067
