Descriptor,Pos,Neg
Column1,1,0
Column2,1,0
Column3,1,0
Column4,0,1
Column5,1,0
Column6,1,0
Column7,1,0
Column8,1,0
Column9,0,1
Column10,1,0
Column11,0,1
Column12,1,0
Column13,1,0
Column14,0,1
Column15,0,1
Column16,1,0
Column17,1,0
Column18,0,1
Column19,0,1
Column20,0,1
Column21,0,1
Column22,0,1
Column23,0,1
Column24,1,0
Column25,1,0
Column26,1,0
Column27,0,1
Column28,0,1
Column29,1,0
Column30,1,0
Column31,1,0
Column32,1,0
Column33,0,1
Column34,1,0
Column35,0,1
Column36,0,1
Column37,1,0
Column39,1,0
Column40,1,0
Column41,1,0
Column42,0,1
Column43,1,0
Column44,0,1
Column45,1,0
Column46,0,1
Column47,1,0
Column48,0,1
Column49,0,1
Column50,0,1
Column51,1,0
Column52,0,1
Column53,1,0
