Seed,TrainingError,TestError
325977,4.020490405301543e7,2.5231073963762928e7
549051,3.958627413382811e7,2.9462718642931864e7
218586,3.7005757998931184e7,2.9193002683408123e7
894246,3.8011357354171276e7,2.2380831619348034e7
353111,3.3407903530413006e7,2.1648350413996592e7
394255,3.931521427625522e7,4.6339504323269986e7
953125,4.709647170961507e7,2.2699311756738003e7
795547,3.52983422978643e7,3.742755797522781e7
494250,3.563869659633206e7,3.2265760276240524e7
748415,3.7657462094467886e7,2.9735056503381424e7
578232,4.159707521458984e7,3.720978731128891e7
727935,4.27080864304682e7,2.6613912135691747e7
7448,3.388753187421132e7,2.6522984917669002e7
199376,4.595157432790945e7,2.341871359625084e7
439243,3.1650941645612136e7,2.7312594484788984e7
682533,3.070940370299443e7,3.523605001685995e7
956741,2.8655907959394805e7,2.762359677274101e7
647855,3.687313133391164e7,2.4940705401079074e7
996666,4.201160204385919e7,2.7565712679446276e7
749194,4.223496038773231e7,3.1042007248020127e7
110084,4.929272330998206e7,3.5622128138098046e7
491383,3.1125514876792476e7,3.623402839548482e7
565145,4.088743280775419e7,2.6980271388298996e7
253812,3.4191565625113785e7,2.644673767152964e7
626794,4.105845557381473e7,2.6274348474007864e7
234104,3.1547448961944252e7,2.9602000685676623e7
124792,5.872522592441146e7,2.4622450092077337e7
609875,3.881175033516909e7,3.8455307529625386e7
672793,4.1400481847702354e7,3.244697857354484e7
761916,3.2131538224531785e7,5.018355555098231e7
588872,4.46992296659629e7,2.716669927851697e7
365854,3.886935054417502e7,3.364787697136145e7
131025,3.564598597798206e7,2.7141028503620222e7
946454,4.267388750337194e7,2.5860175004910976e7
574324,5.389392068149412e7,4.9400349491678976e7
677650,5.081414991526726e7,2.880762017992071e7
571586,4.89202967546373e7,3.509681130465565e7
72716,2.8629228443826053e7,3.7402512695898294e7
701116,3.985490246680313e7,3.070994619699163e7
95217,3.7199363874702364e7,3.2751523079700176e7
845515,5.2377847582161784e7,1.7238580436072752e7
348995,4.421615034800198e7,2.5450376859676782e7
768309,3.134840699142591e7,3.548387489960311e7
269059,5.194932045669191e7,2.1871446558685318e7
539631,4.413320776481897e7,5.107779841157058e7
293905,4.8987797601793714e7,2.3838196871316012e7
242194,4.4896027367488265e7,2.5112067113340348e7
978070,3.892614900380993e7,2.390297090755442e7
853242,4.317358838447022e7,3.424156212913123e7
706065,5.058271028493914e7,1.6735405959656792e7
442139,4.1818766149732605e7,3.149347017355652e7
884577,3.948627481856766e7,2.3525724593612242e7
520741,4.194079165271753e7,3.0244405447779983e7
941831,4.8249816555448845e7,3.568110341989721e7
810699,3.814145716238007e7,2.904544499976302e7
464848,4.0252197051640436e7,3.833759065634707e7
977013,4.976831898721661e7,2.5725515602537453e7
500161,4.4964194347031645e7,2.5634281933450487e7
715846,4.113654990673427e7,2.1187686982706044e7
189850,3.511871323393412e7,3.390959674428548e7
376441,4.7918461165690005e7,3.131519556414645e7
565864,4.32969741216934e7,2.4926680676576294e7
172235,4.072332658181311e7,3.860267993321548e7
327351,3.991050864596592e7,3.609451550765261e7
632108,3.2624742801943235e7,4.66165291048241e7
374141,5.0263601606753275e7,3.402925171894205e7
728543,3.0823129038970344e7,2.8252859359740037e7
2776,3.341928293443537e7,2.7042230019653313e7
134685,4.4997826147447325e7,3.127357729237765e7
531899,5.351615844527291e7,2.923235780392074e7
73170,3.813988864444086e7,3.98050328359009e7
501756,3.847982301234567e7,4.823257039457366e7
906940,4.979466665955411e7,2.3376490347281825e7
116769,4.127315188880514e7,3.291424964023113e7
367197,3.772532785748014e7,3.62533782993859e7
881164,3.292848686755292e7,2.6855058346170112e7
671891,4.987767406649583e7,1.9470119383402217e7
479862,3.784305615005045e7,3.214947093699533e7
949969,5.695064758290277e7,2.4300420058415666e7
26233,3.3183830730023872e7,4.566405885922388e7
347189,5.196347854823252e7,2.279927840718092e7
819254,4.146516778452286e7,2.1054927070143517e7
792832,3.621317160731365e7,4.07100382165104e7
967230,4.599057694352913e7,2.7303604946461517e7
471452,4.718677453720326e7,3.1266297341947116e7
193780,4.779154893394431e7,2.222021902437941e7
941781,4.5717468053941704e7,3.2489235234743208e7
669388,3.752195627595252e7,3.601412714657208e7
892109,3.874888725270081e7,2.532057896440906e7
356715,4.904566918217173e7,3.3112817723520875e7
728948,5.282717675831731e7,2.9562320339760285e7
400910,4.9202235126765534e7,2.9062727493958846e7
314519,4.547286803972246e7,2.1145614419762492e7
804720,3.651419663944731e7,2.8259771759030588e7
108778,3.867256653951506e7,1.5296731857706418e7
498061,5.552971174389678e7,3.12279988665522e7
553733,4.226883843106127e7,3.220178304708711e7
488934,4.416260364710826e7,2.6191438754017144e7
491581,4.5438627244957566e7,2.430965136288324e7
932783,4.17155739903268e7,3.1456947440408684e7
