Seed,TrainingError,TestError
325977,5.227566286008569e7,3.1477620214505e7
549051,5.2507619173742786e7,3.604703934919185e7
218586,5.269645596150645e7,3.2793120189607978e7
894246,4.9850277113157265e7,2.7782419658869468e7
353111,4.696399330942376e7,2.904128622736338e7
394255,5.20492047369227e7,5.660119533178285e7
953125,6.153363134378284e7,3.0863889869842954e7
795547,4.878373135252704e7,4.620750697168627e7
494250,4.8149875842018545e7,4.0606616471999556e7
748415,5.283357856246844e7,3.69043076614808e7
578232,5.4909975115801126e7,4.49909746239502e7
727935,5.697441895774536e7,3.492603343204912e7
7448,4.683113501290569e7,3.2112258343386382e7
199376,5.9108239974633776e7,2.877714678952552e7
439243,4.281319089944846e7,3.6738719568413585e7
682533,4.262200057979583e7,3.969086243211992e7
956741,4.3018586563900754e7,3.220511672619669e7
647855,5.168180923722233e7,3.121824413862986e7
996666,5.427045148087464e7,3.335748578323601e7
749194,6.0504025968392685e7,3.51837396909664e7
110084,6.5221941260965005e7,3.9997777263947815e7
491383,4.3760057649104856e7,4.6142861886784576e7
565145,5.237712115032509e7,3.444351517743027e7
253812,4.8628463706967495e7,3.380217020442374e7
626794,5.514438395215011e7,3.2304133398403086e7
234104,4.475026961511563e7,3.5772322981160924e7
124792,7.614283692473744e7,2.905092255764864e7
609875,5.130790250940159e7,4.682082325258689e7
672793,5.3039810201170854e7,4.101755813115369e7
761916,4.4014325088896275e7,6.00604333720234e7
588872,5.939823633449417e7,3.5448205494158804e7
365854,5.2580066178446725e7,3.9316776833324775e7
131025,4.75048156585636e7,3.4565624810987905e7
946454,5.293844074990719e7,3.4869224569573745e7
574324,6.71320305482867e7,4.955944322425136e7
677650,6.398930868841203e7,3.127412457816197e7
571586,6.1610876621181384e7,4.445590858211361e7
72716,4.169065590040623e7,4.331871303907175e7
701116,5.3450672683354914e7,3.706389482262193e7
95217,4.9527522764165685e7,4.109373552963063e7
845515,6.734569705882098e7,2.5144989766412113e7
348995,5.6579732983130634e7,3.199787171169353e7
768309,4.3345554700402014e7,4.145644711775758e7
269059,6.808015015396467e7,2.7269269145228922e7
539631,5.656102255016416e7,5.6270692688892394e7
293905,6.286653409944473e7,2.9008788264103524e7
242194,5.9357812912312165e7,2.808675254850386e7
978070,5.065266306223525e7,3.2563109503948282e7
853242,5.737415206630264e7,4.254471911786831e7
706065,6.322332831687798e7,2.308025268021968e7
442139,5.3085315707585506e7,4.050142441973177e7
884577,5.273344530145375e7,3.0247116011318684e7
520741,5.5840289289629154e7,3.6284595932026185e7
941831,6.0961984686955735e7,4.52376505302497e7
810699,4.9694469857819855e7,3.732263622007172e7
464848,5.3227277552244775e7,4.6965701208574295e7
977013,6.257434643944122e7,3.3474834733943813e7
500161,5.937685465629281e7,3.445186409195541e7
715846,5.282059760986677e7,2.9442919676278923e7
189850,4.6479529624698244e7,4.2651675846475795e7
376441,6.174322947552979e7,3.77291538826009e7
565864,5.598986151290492e7,3.250653199325933e7
172235,5.413466243138389e7,4.832811415058793e7
327351,5.163082982137135e7,4.336702788419826e7
632108,4.533452371917565e7,5.3981139574845746e7
374141,6.498441276213736e7,4.0531851688577294e7
728543,4.4325299828018345e7,3.207119247792227e7
2776,4.4590399064674705e7,3.59339940461379e7
134685,6.0913255099967845e7,3.785691070794764e7
531899,6.757703070498554e7,3.4270516397842005e7
73170,5.31794163867431e7,4.644254888436946e7
501756,5.359078187904487e7,5.690145938393904e7
906940,6.0716740427870326e7,3.356001288567104e7
116769,5.175784089678451e7,4.132126235114434e7
367197,4.839370077829019e7,4.6662903069839984e7
881164,4.439648778723543e7,3.2381906593113184e7
671891,6.395193330517508e7,2.3576764523379862e7
479862,4.879473084612509e7,4.082881128089248e7
949969,7.310316094155198e7,2.350516064378226e7
26233,4.643714017974786e7,5.5525110908295825e7
347189,6.465911448691699e7,2.7951405366196886e7
819254,5.3395320987007536e7,2.9011318497115575e7
792832,4.879257484374578e7,4.701041343731062e7
967230,6.016814926757979e7,3.36557740411184e7
471452,5.901932819038895e7,3.963666060652124e7
193780,6.488210739693785e7,2.753268865731134e7
941781,6.1084887015886575e7,3.770854998172214e7
669388,5.001394202092525e7,4.3420230590619095e7
892109,5.101980986133158e7,3.1135119722687785e7
356715,6.503638272447174e7,3.871577515834294e7
728948,6.6000867824290395e7,3.8782553966252044e7
400910,6.563664126374425e7,3.397378394572343e7
314519,5.7528952878705524e7,2.8610866353943598e7
804720,4.734959191225773e7,3.411306789611477e7
108778,5.3000053952823594e7,2.1307400284203872e7
498061,6.981038803797849e7,3.837869436609226e7
553733,5.2681236224390924e7,3.604251819340269e7
488934,5.914242442311166e7,3.571701879989512e7
491581,6.0011373923202254e7,2.926483789540915e7
932783,5.7923246975723535e7,3.187474768583809e7
