Seed,TrainingError,TestError
325977,5.355150713702953e7,3.237943905428318e7
549051,5.347819789188698e7,3.753143434335908e7
218586,5.415577525722633e7,3.3904948923058085e7
894246,5.105527104218582e7,2.841670612434403e7
353111,4.839766283887312e7,2.9797687799396854e7
394255,5.310606971735279e7,5.769729537227379e7
953125,6.3294585793565564e7,3.1694937279409856e7
795547,5.001574620710145e7,4.755969929234847e7
494250,4.956118759808858e7,4.16495315117998e7
748415,5.423285333859078e7,3.790568016499585e7
578232,5.623864306206553e7,4.667337157162802e7
727935,5.8141422292434186e7,3.705708863879551e7
7448,4.833893288562802e7,3.286338509868592e7
199376,6.053536956462961e7,2.9529157070173647e7
439243,4.392965440866786e7,3.780388479259076e7
682533,4.352407232984525e7,4.076864525510134e7
956741,4.4293205744133055e7,3.3095821162575766e7
647855,5.314480128015371e7,3.214627837849845e7
996666,5.574337163508279e7,3.3979500580192596e7
749194,6.2202250367933676e7,3.598359632774545e7
110084,6.68011705784713e7,4.087550978757215e7
491383,4.495806382222946e7,4.74775329944776e7
565145,5.3657948493404135e7,3.553179661409457e7
253812,4.990660089734638e7,3.485729779924986e7
626794,5.675057584679468e7,3.309344105636771e7
234104,4.625402630115202e7,3.661447594311464e7
124792,7.798308176742594e7,2.9956642754740715e7
609875,5.26732365055537e7,4.7902811403160386e7
672793,5.4574196753648825e7,4.207351652021578e7
761916,4.5388181248364076e7,6.111508954821345e7
588872,6.11255614061667e7,3.636426538688352e7
365854,5.3985985005832285e7,3.995811566865196e7
131025,4.891681794893664e7,3.5519137550201714e7
946454,5.438966593393693e7,3.5819061911181726e7
574324,6.829716031107327e7,5.021151140993658e7
677650,6.546721833949245e7,3.219624808723811e7
571586,6.299973269795051e7,4.541088060081371e7
72716,4.298311187912333e7,4.427966268324084e7
701116,5.481577680324668e7,3.810449059895946e7
95217,5.1005291420004934e7,4.205139507626416e7
845515,6.87856003030619e7,2.620023687772759e7
348995,5.742429881079677e7,3.3115195922845274e7
768309,4.428575099797739e7,4.319332289312744e7
269059,6.966966155885233e7,2.7826011257983487e7
539631,5.7883829931050055e7,5.706099853497375e7
293905,6.4376837928258896e7,2.9764288852108322e7
242194,6.077305059787018e7,2.8984011320657156e7
978070,5.2185963713965036e7,3.3479380448910777e7
853242,5.878122778497709e7,4.3654629165185496e7
706065,6.446807477424292e7,2.394231476452671e7
442139,5.446006555318211e7,4.162280992870809e7
884577,5.408909495871926e7,3.0801354658409573e7
520741,5.733028451050156e7,3.721600163689486e7
941831,6.235240354761703e7,4.6050237706484586e7
810699,5.08866469602506e7,3.847664047837161e7
464848,5.459995415124807e7,4.802469713613576e7
977013,6.367787647283318e7,3.512804789890587e7
500161,6.09216682250903e7,3.533461582188685e7
715846,5.4135814550123364e7,3.0144826454226807e7
189850,4.768909180612598e7,4.358781190036771e7
376441,6.326063623590273e7,3.840863670086962e7
565864,5.753728146072161e7,3.3546415814642504e7
172235,5.554317913526526e7,4.9902337062396854e7
327351,5.305012734573522e7,4.438799853289336e7
632108,4.675873341801043e7,5.4990689220378e7
374141,6.652903115840511e7,4.1401660233370334e7
728543,4.5501532295721844e7,3.2489181039493777e7
2776,4.5904478550287426e7,3.697713603321245e7
134685,6.263424903428711e7,3.8673920940013476e7
531899,6.930388354438579e7,3.514173638220654e7
73170,5.462618876719788e7,4.729050548046824e7
501756,5.514807075270665e7,5.7991237202595964e7
906940,6.172731084874398e7,3.4812448416691124e7
116769,5.332914115321271e7,4.2248943649683274e7
367197,4.969767290541284e7,4.791437960194919e7
881164,4.566088040727802e7,3.3305631065074764e7
671891,6.538206519848434e7,2.4038671473680474e7
479862,4.9783943379953064e7,4.1833771280283615e7
949969,7.47854986591122e7,2.395076501055585e7
26233,4.786180623591167e7,5.680421777043167e7
347189,6.6071440441173814e7,2.8878494826144703e7
819254,5.4892839950577915e7,3.002502739245266e7
792832,5.016595749969454e7,4.790222973705602e7
967230,6.146747648740767e7,3.460216430345787e7
471452,6.052037719007569e7,4.049384478283565e7
193780,6.6274557017462544e7,2.8699079431179687e7
941781,6.262450401435088e7,3.871511015976767e7
669388,5.104981968664111e7,4.444437013338007e7
892109,5.22712272074324e7,3.2504934659921132e7
356715,6.634380364194086e7,3.9469556296843596e7
728948,6.75540532582983e7,3.986911030509664e7
400910,6.7016155476948574e7,3.457867217590663e7
314519,5.899766695887372e7,2.971443097406193e7
804720,4.861197617419712e7,3.532946915034346e7
108778,5.453877512545233e7,2.2043547125970483e7
498061,7.166233939964545e7,3.935826693473178e7
553733,5.425180672802502e7,3.706538426529767e7
488934,6.015868536467685e7,3.6480556894821495e7
491581,6.1378581577007055e7,3.0090647520327017e7
932783,5.9394332591810584e7,3.2850528252679244e7
