Blocks,Seed,TrainingError,TestError
Original,325977,4.107759308055414e7,2.543392605377911e7
Original,549051,4.070612590324847e7,2.8741467070593126e7
Original,218586,3.80396613570911e7,2.957923207897248e7
Original,894246,3.8705671364602715e7,2.2531975693880893e7
Original,353111,3.422997320817311e7,2.1768149757905927e7
Original,394255,4.006613841895904e7,4.631549101321786e7
Original,953125,4.8222324880064964e7,2.2978906846162993e7
Original,795547,3.59844109482715e7,3.77903600422002e7
Original,494250,3.642062670441731e7,3.2953313892867412e7
Original,748415,3.8474741445762634e7,3.00053561109581e7
Original,578232,4.245274508065069e7,3.72152841793767e7
Original,727935,4.3597937621070296e7,2.68268402886527e7
Original,7448,3.4777970666295946e7,2.619002729904674e7
Original,199376,4.6888516946172185e7,2.3547458615417324e7
Original,439243,3.245645106529377e7,2.796296362729828e7
Original,682533,3.1630946310466416e7,3.4985394916371346e7
Original,956741,2.9763941364608306e7,2.798625310049102e7
Original,647855,3.752310167899676e7,2.540572356438561e7
Original,996666,4.299291836935072e7,2.738691148333685e7
Original,749194,4.307015157894563e7,3.11139346318769e7
Original,110084,5.050965614315629e7,3.544544353840639e7
Original,491383,3.1675284479433395e7,3.669300006102501e7
Original,565145,4.174330297644743e7,2.744107254463099e7
Original,253812,3.530489524222452e7,2.6530700436973594e7
Original,626794,4.218513419495379e7,2.6065674154274426e7
Original,234104,3.248310129002032e7,2.973560309693525e7
Original,124792,5.98361751025213e7,2.4965602788989387e7
Original,609875,3.999480903330488e7,3.870590242461197e7
Original,672793,4.216072354403819e7,3.2925408097908862e7
Original,761916,3.2951225544127963e7,5.0712464164505936e7
Original,588872,4.5722821595656976e7,2.7311853234540753e7
Original,365854,3.982234758457029e7,3.4146893649508104e7
Original,131025,3.640697922316219e7,2.7302590196604304e7
Original,946454,4.3638028320854925e7,2.6282485726836137e7
Original,574324,5.496041351442194e7,4.9841184843000636e7
Original,677650,5.197728188600227e7,2.7954856082273543e7
Original,571586,5.0379979467265636e7,3.486519152488536e7
Original,72716,2.9313178665266648e7,3.8423280742231704e7
Original,701116,4.062117954125041e7,3.1072866720542125e7
Original,95217,3.817263675839196e7,3.310410969849437e7
Original,845515,5.33644035252499e7,1.734299220670234e7
Original,348995,4.535191483859249e7,2.5712795562085673e7
Original,768309,3.273068656258693e7,3.5121659804770716e7
Original,269059,5.297125092903768e7,2.1770263823817804e7
Original,539631,4.492270533930969e7,5.14549203541069e7
Original,293905,4.991195630435958e7,2.4414106470723875e7
Original,242194,4.592294938498333e7,2.490031543991656e7
Original,978070,3.973040354397282e7,2.411227920667404e7
Original,853242,4.394258340512429e7,3.3474309745423015e7
Original,706065,5.168259629066501e7,1.6519098969859874e7
Original,442139,4.30917558916549e7,3.0928973528853714e7
Original,884577,4.050746602850565e7,2.3839272282214448e7
Original,520741,4.2784959786446154e7,3.0420476573772088e7
Original,941831,4.923687347809266e7,3.534976943537468e7
Original,810699,3.889903740190822e7,2.9012262267672457e7
Original,464848,4.124758377118312e7,3.858178498471522e7
Original,977013,5.093219719481365e7,2.4543404002725404e7
Original,500161,4.607175915383122e7,2.578267902252274e7
Original,715846,4.2017248681094214e7,2.1182514626040734e7
Original,189850,3.597644752175654e7,3.4449147915147796e7
Original,376441,4.9041836595220804e7,3.1128055568773482e7
Original,565864,4.410217628042127e7,2.531219029974428e7
Original,172235,4.162973049308075e7,3.9036461539333224e7
Original,327351,4.0984227378273405e7,3.611198046209022e7
Original,632108,3.368139515717921e7,4.680380597083208e7
Original,374141,5.1386648764643885e7,3.405390401922841e7
Original,728543,3.1961963886634827e7,2.841037092570877e7
Original,2776,3.4063215481859356e7,2.737359012955293e7
Original,134685,4.6096956509817824e7,3.1801702923294567e7
Original,531899,5.475892926565521e7,2.92765422993939e7
Original,73170,3.903390858367208e7,3.986827500196764e7
Original,501756,3.9718171051529e7,4.832357408494502e7
Original,906940,5.0762303790883206e7,2.3527803431580707e7
Original,116769,4.213108450472887e7,3.2835178300657198e7
Original,367197,3.853364964756629e7,3.675864881068002e7
Original,881164,3.364861479906186e7,2.717073169696985e7
Original,671891,5.079773274388036e7,1.9673452095187724e7
Original,479862,3.86625117504762e7,3.242614803764981e7
Original,949969,5.837193732257657e7,2.336848456152282e7
Original,26233,3.382110228694981e7,4.644960773709221e7
Original,347189,5.344645924455261e7,2.2995681516677856e7
Original,819254,4.2373732056274414e7,2.1184685311584473e7
Original,792832,3.69169109936981e7,4.1132347551117286e7
Original,967230,4.743944078728664e7,2.7152118797045127e7
Original,471452,4.8114583421773285e7,3.1387552775472768e7
Original,193780,4.893781762422915e7,2.1631389298644572e7
Original,941781,4.6653472490053944e7,3.186413810789844e7
Original,669388,3.8248418000074886e7,3.653596083680212e7
Original,892109,3.9539689414249696e7,2.547713804646574e7
Original,356715,5.015710008875736e7,3.3319435373013772e7
Original,728948,5.3948166489247754e7,2.9732054117742628e7
Original,400910,5.0257870812461585e7,2.8487537747068394e7
Original,314519,4.661578774202895e7,2.137448556000781e7
Original,804720,3.719760991732986e7,2.878371484995759e7
Original,108778,3.951304193235604e7,1.5362850593237959e7
Original,498061,5.670375398316072e7,3.1040038407191288e7
Original,553733,4.31853421801509e7,3.137650265358961e7
Original,488934,4.524311747731182e7,2.624768152808518e7
Original,491581,4.6487154730322346e7,2.462859785130023e7
Original,932783,4.3322260526657104e7,3.1551686408081055e7
