Blocks,Seed,TrainingError,TestError
FromLS,325977,4.020490405301544e7,2.5231073963762976e7
FromLS,549051,3.95862741338281e7,2.9462718642931648e7
FromLS,218586,3.700575799893119e7,2.9193002683408234e7
FromLS,894246,3.8011357354171276e7,2.238083161934804e7
FromLS,353111,3.3407903530413017e7,2.1648350413996752e7
FromLS,394255,3.931521427625521e7,4.633950432327008e7
FromLS,953125,4.709647170961507e7,2.2699311756738003e7
FromLS,795547,3.52983422978643e7,3.742755797522777e7
FromLS,494250,3.563869659633205e7,3.2265760276240453e7
FromLS,748415,3.765746209446788e7,2.9735056503381416e7
FromLS,578232,4.159707521458985e7,3.720978731128843e7
FromLS,727935,4.2708086430468194e7,2.6613912135691788e7
FromLS,7448,3.3887531874211326e7,2.652298491766904e7
FromLS,199376,4.595157432790945e7,2.341871359625079e7
FromLS,439243,3.165094164561214e7,2.7312594484788958e7
FromLS,682533,3.0709403702994425e7,3.523605001686056e7
FromLS,956741,2.8655907959394805e7,2.7623596772741124e7
FromLS,647855,3.687313133391164e7,2.4940705401079066e7
FromLS,996666,4.201160204385919e7,2.7565712679446306e7
FromLS,749194,4.223496038773231e7,3.10420072480203e7
FromLS,110084,4.929272330998206e7,3.562212813809809e7
FromLS,491383,3.1125514876792476e7,3.623402839548476e7
FromLS,565145,4.088743280775419e7,2.698027138829892e7
FromLS,253812,3.4191565625113785e7,2.6446737671529688e7
FromLS,626794,4.105845557381472e7,2.6274348474007905e7
FromLS,234104,3.1547448961944252e7,2.96020006856766e7
FromLS,124792,5.872522592441145e7,2.4622450092077445e7
FromLS,609875,3.881175033516909e7,3.8455307529625446e7
FromLS,672793,4.1400481847702354e7,3.244697857354485e7
FromLS,761916,3.2131538224531785e7,5.018355555098227e7
FromLS,588872,4.469922966596289e7,2.7166699278517097e7
FromLS,365854,3.886935054417502e7,3.36478769713615e7
FromLS,131025,3.564598597798206e7,2.714102850362027e7
FromLS,946454,4.267388750337194e7,2.5860175004910976e7
FromLS,574324,5.389392068149411e7,4.9400349491677575e7
FromLS,677650,5.081414991526726e7,2.8807620179920945e7
FromLS,571586,4.89202967546373e7,3.5096811304655656e7
FromLS,72716,2.8629228443826053e7,3.7402512695898585e7
FromLS,701116,3.985490246680314e7,3.0709946196991734e7
FromLS,95217,3.7199363874702364e7,3.2751523079700246e7
FromLS,845515,5.2377847582161784e7,1.7238580436072737e7
FromLS,348995,4.4216150348001964e7,2.5450376859676577e7
FromLS,768309,3.134840699142591e7,3.5483874899602935e7
FromLS,269059,5.194932045669191e7,2.187144655868545e7
FromLS,539631,4.413320776481897e7,5.107779841157069e7
FromLS,293905,4.898779760179371e7,2.3838196871315792e7
FromLS,242194,4.4896027367488265e7,2.5112067113340557e7
FromLS,978070,3.892614900380993e7,2.3902970907554395e7
FromLS,853242,4.3173588384470224e7,3.424156212913123e7
FromLS,706065,5.058271028493914e7,1.6735405959656809e7
FromLS,442139,4.1818766149732605e7,3.149347017355651e7
FromLS,884577,3.948627481856766e7,2.352572459361223e7
FromLS,520741,4.194079165271753e7,3.0244405447780192e7
FromLS,941831,4.824981655544884e7,3.568110341989711e7
FromLS,810699,3.814145716238007e7,2.904544499976302e7
FromLS,464848,4.025219705164044e7,3.833759065634702e7
FromLS,977013,4.9768318987216614e7,2.572551560253741e7
FromLS,500161,4.4964194347031645e7,2.5634281933450304e7
FromLS,715846,4.113654990673427e7,2.1187686982705977e7
FromLS,189850,3.5118713233934134e7,3.39095967442855e7
FromLS,376441,4.7918461165690005e7,3.1315195564146414e7
FromLS,565864,4.32969741216934e7,2.492668067657645e7
FromLS,172235,4.072332658181311e7,3.8602679933215275e7
FromLS,327351,3.991050864596592e7,3.609451550765271e7
FromLS,632108,3.2624742801943235e7,4.661652910482413e7
FromLS,374141,5.0263601606753275e7,3.402925171894203e7
FromLS,728543,3.0823129038970344e7,2.8252859359740064e7
FromLS,2776,3.3419282934435368e7,2.7042230019653335e7
FromLS,134685,4.499782614744733e7,3.127357729237759e7
FromLS,531899,5.3516158445272915e7,2.9232357803920828e7
FromLS,73170,3.813988864444086e7,3.98050328359007e7
FromLS,501756,3.847982301234567e7,4.823257039457358e7
FromLS,906940,4.979466665955412e7,2.3376490347281832e7
FromLS,116769,4.127315188880514e7,3.29142496402308e7
FromLS,367197,3.772532785748014e7,3.625337829938574e7
FromLS,881164,3.2928486867552917e7,2.6855058346170045e7
FromLS,671891,4.987767406649583e7,1.947011938340226e7
FromLS,479862,3.784305615005045e7,3.2149470936995283e7
FromLS,949969,5.695064758290277e7,2.4300420058415383e7
FromLS,26233,3.3183830730023876e7,4.566405885922383e7
FromLS,347189,5.196347854823252e7,2.2799278407180943e7
FromLS,819254,4.146516778452286e7,2.105492707014358e7
FromLS,792832,3.621317160731365e7,4.07100382165105e7
FromLS,967230,4.5990576943529114e7,2.73036049464615e7
FromLS,471452,4.718677453720327e7,3.1266297341947168e7
FromLS,193780,4.779154893394431e7,2.2220219024379697e7
FromLS,941781,4.571746805394171e7,3.2489235234743193e7
FromLS,669388,3.7521956275952525e7,3.601412714657202e7
FromLS,892109,3.8748887252700806e7,2.532057896440889e7
FromLS,356715,4.904566918217173e7,3.311281772352092e7
FromLS,728948,5.282717675831731e7,2.956232033976022e7
FromLS,400910,4.9202235126765534e7,2.9062727493958946e7
FromLS,314519,4.547286803972247e7,2.1145614419762406e7
FromLS,804720,3.651419663944731e7,2.825977175903055e7
FromLS,108778,3.867256653951506e7,1.5296731857706392e7
FromLS,498061,5.55297117438968e7,3.1227998866552196e7
FromLS,553733,4.226883843106126e7,3.2201783047087025e7
FromLS,488934,4.4162603647108264e7,2.6191438754017152e7
FromLS,491581,4.5438627244957566e7,2.4309651362883307e7
FromLS,932783,4.171557399032681e7,3.1456947440408174e7
