Descriptor,Pos,Neg
V,0,1
S,0,1
R,0,1
G,1,0
W1,0,1
W2,0,1
W3,1,0
W4,0,1
W5,0,1
W6,0,1
W7,1,0
W8,0,1
D1,0,1
D2,1,0
D3,1,0
D4,0,1
D5,1,0
D6,0,1
D7,1,0
D8,0,1
WO1,0,1
WO2,0,1
WO3,1,0
WO4,1,0
WO5,0,1
WO6,0,1
WN1,0,1
WN2,1,0
WN3,1,0
WN4,0,1
WN5,1,0
WN6,1,0
IW1,1,0
IW2,1,0
IW3,1,0
IW4,1,0
CW1,0,1
CW2,0,1
CW3,0,1
CW4,0,1
CW5,0,1
CW6,0,1
CW7,0,1
CW8,0,1
ID1,1,0
ID2,1,0
ID3,1,0
ID4,1,0
CD1,0,1
CD2,1,0
CD3,1,0
CD4,0,1
CD5,1,0
CD6,1,0
CD7,1,0
CD8,0,1
HL1,0,1
HL2,1,0
A,1,0
CP,1,0
PSA,0,1
HSA,1,0
PSAR,1,0
PHSAR,1,0
DRDRDR,1,0
DRDRAC,1,0
DRDRDO,1,0
DRACAC,1,0
DRACDO,0,1
DRDODO,1,0
ACACAC,0,1
ACACDO,1,0
ACDODO,0,1
DODODO,1,0
DD1,0,1
DD2,1,0
DD3,1,0
DD4,1,0
DD5,1,0
DD6,0,1
DD7,1,0
DD8,1,0
