Blocks,Seed,TrainingError,TestError
Original,325977,1.559932018656878e-25,221.1901639859723
Original,549051,3.486420844802816e-27,154.79143934538735
Original,218586,3.584586885552618e-26,108.61946819179276
Original,894246,2.2965730436616206e-27,193.3237496235483
Original,353111,2.8808643279731434e-26,732.6297174460689
Original,394255,5.429138783477535e-27,369.02531820793826
Original,953125,4.6973597455062386e-27,2024.2372402097672
Original,795547,1.0806479199618289e-26,376.2425387759076
Original,494250,1.4787509669018857e-26,294.38064193621676
Original,748415,8.651293410961799e-26,491.35441277616127
Original,578232,1.165331911840536e-26,1060.656406695651
Original,727935,2.7159263779034584e-26,228.80240521725864
Original,7448,1.3352772027284301e-28,46.08804876024725
Original,199376,1.0009428469901765e-26,1959.7437169996992
Original,439243,1.4063158942843062e-26,346.29905349485233
Original,682533,2.0281028438677368e-26,76.1998332994949
Original,956741,2.5530886159195287e-26,604.4544830061211
Original,647855,1.3077327982198718e-26,466.234807144818
Original,996666,1.9962831637721305e-26,923.9958062940277
Original,749194,7.483911900400321e-27,368.5356157522952
Original,110084,2.6694066956547513e-27,134.56960625725517
Original,491383,1.2755252213889913e-26,223.6363506381319
Original,565145,2.3021534256754826e-27,319.1491692444471
Original,253812,6.16578767975796e-28,37.726871130273416
Original,626794,1.7847338571883856e-27,131.963071494297
Original,234104,8.218603281485271e-27,209.5175376132156
Original,124792,8.186753022436973e-27,353.6396570544499
Original,609875,7.285824564868001e-27,451.9064777655108
Original,672793,1.0453480000239565e-26,450.7264295956523
Original,761916,1.801484440286699e-26,196.61972897266796
Original,588872,1.175795869599556e-25,528.5282062567834
Original,365854,4.573353497877768e-27,261.62085541250906
Original,131025,3.361007719794445e-26,694.9753950789626
Original,946454,1.807178413648681e-26,2413.2483395876966
Original,574324,7.579411595274462e-27,292.99893867559297
Original,677650,3.0512916876002094e-24,823.1361093012775
Original,571586,5.302196070462857e-27,898.9404925092575
Original,72716,1.0376486835770662e-27,235.64118356526245
Original,701116,3.0004786753267837e-27,306.94627096770085
Original,95217,1.838649264497935e-26,2012.9321489582358
Original,845515,4.242541403192431e-26,1971.055879292109
Original,348995,4.044429001681885e-27,362.3569612743246
Original,768309,5.716984449994712e-26,1826.2423292124633
Original,269059,1.2517090176223032e-26,671.0026244397887
Original,539631,9.00789058759597e-26,400.6982405058901
Original,293905,4.9235705693479705e-27,322.9570632916703
Original,242194,1.092331265820663e-25,2224.5189325141187
Original,978070,1.554457193011408e-26,1298.0282756127137
Original,853242,3.159911547243432e-26,206.1840490855902
Original,706065,4.2555711666753864e-26,2824.7467971858014
Original,442139,2.8071623016009483e-27,722.0407873396412
Original,884577,9.40272018918745e-27,152.3880040965372
Original,520741,2.8644017099201147e-26,451.1233449945245
Original,941831,8.426104745549101e-26,364.7331939714842
Original,810699,9.957523194193771e-26,3591.4995844674586
Original,464848,2.9928065408003227e-27,522.4673693239629
Original,977013,9.723071961306538e-27,1793.7425766580354
Original,500161,3.505579377280882e-24,982.9016749817343
Original,715846,2.0978698901036527e-25,376.7500862564238
Original,189850,2.863300077991925e-27,1352.9276725457664
Original,376441,1.7693186368763123e-26,291.0056212022558
Original,565864,1.5847919822720728e-26,812.9085825908636
Original,172235,4.319871419356665e-26,659.9280972656225
Original,327351,1.0064537799702439e-26,824.4240850950303
Original,632108,2.1560071592591727e-26,202.3456342571531
Original,374141,8.200391687931146e-27,436.13304444918793
Original,728543,2.73169039183218e-25,312.8650887262764
Original,2776,1.0468899810812963e-25,409.8423001894003
Original,134685,4.261984102887596e-26,298.9699023342695
Original,531899,4.106234635824798e-26,4227.507255072522
Original,73170,4.101392702286515e-26,706.5477439158938
Original,501756,5.63949366682837e-27,463.56518533680753
Original,906940,2.4377047662817294e-26,158.71374120273734
Original,116769,1.8626904939193255e-26,603.3281530572347
Original,367197,2.854304906630868e-26,661.2955426952859
Original,881164,2.911321619670565e-26,1108.0351509479244
Original,671891,7.612030875128534e-27,208.47160630937802
Original,479862,5.2221890887131225e-27,445.71932347093997
Original,949969,3.662860872204969e-27,283.1426869106132
Original,26233,9.949334255626033e-27,607.2814336635176
Original,347189,1.979247388967652e-28,78.84754329962246
Original,819254,4.1121085680807834e-26,286.87933095621156
Original,792832,7.646463421046266e-27,155.97357104652335
Original,967230,4.63358483836554e-27,285.0631818408397
Original,471452,2.4858640312106922e-27,85.08393514757442
Original,193780,2.5108175890541783e-25,940.2738614598753
Original,941781,1.2306072965564322e-26,271.99933661776936
Original,669388,1.6706546449504523e-26,243.09112676997577
Original,892109,1.5760002601833347e-26,244.89331115893762
Original,356715,5.8357533911399636e-27,293.1941205458326
Original,728948,7.883530760132758e-27,218.39123111354243
Original,400910,4.303467349573946e-27,163.99481294058523
Original,314519,9.01107492016602e-27,292.18278337790673
Original,804720,2.3142228434509685e-27,391.56109736633414
Original,108778,2.66459718636043e-26,420.89021041499905
Original,498061,7.788288902150942e-27,178.4312935631492
Original,553733,1.0833689301182095e-26,331.07075543411327
Original,488934,9.608724107904423e-27,387.3755275094087
Original,491581,3.3225068731659625e-26,714.8963306683685
Original,932783,4.765985819805956e-26,329.4742330812894
