Blocks,Seed,TrainingError,TestError
FromLSOpt,325977,1.9496452024919115e-25,45.19975421938324
FromLSOpt,549051,2.0675891376011022e-26,49.70299080217642
FromLSOpt,218586,3.827762749606796e-27,22.751948405654304
FromLSOpt,894246,9.26136759129167e-26,29.953641818682424
FromLSOpt,353111,1.8407415177523197e-26,34.272506842347134
FromLSOpt,394255,7.50960337252421e-26,122.15089804346083
FromLSOpt,953125,6.66313082487403e-27,26.43444627135756
FromLSOpt,795547,4.497421599905934e-27,71.04903771429082
FromLSOpt,494250,2.8806044634494535e-26,143.55151604038582
FromLSOpt,748415,2.3283131828505237e-26,85.36263087769316
FromLSOpt,578232,5.709556260525854e-27,25.62896079500657
FromLSOpt,727935,9.796332121571592e-27,23.78149067066397
FromLSOpt,7448,8.35348256221704e-27,40.44167722313135
FromLSOpt,199376,1.577649693995256e-26,122.49409819890506
FromLSOpt,439243,9.749521366718399e-27,25.163650897165894
FromLSOpt,682533,2.3633684589564746e-26,15.497976792299426
FromLSOpt,956741,1.378664243286047e-27,21.808595428215646
FromLSOpt,647855,2.788989274793959e-27,9.282434567605623
FromLSOpt,996666,6.550188755886572e-27,39.540686298860614
FromLSOpt,749194,1.2694011727832314e-26,10.237588557534044
FromLSOpt,110084,3.313458042537852e-27,23.560592645946933
FromLSOpt,491383,1.7343737213709997e-26,29.44663391304116
FromLSOpt,565145,9.370848696761515e-27,18.288389679738522
FromLSOpt,253812,1.1675664851911342e-26,48.623296147418905
FromLSOpt,626794,1.1036945221227399e-26,38.00305405894283
FromLSOpt,234104,4.100386511030067e-27,190.24922081363454
FromLSOpt,124792,2.050983796794131e-26,39.57752224719394
FromLSOpt,609875,2.7438799606731764e-26,34.348275979743576
FromLSOpt,672793,3.8079818758339156e-26,13.307226986274795
FromLSOpt,761916,6.365154217959342e-27,21.726961120034524
FromLSOpt,588872,8.195450245213396e-27,112.55414236111864
FromLSOpt,365854,5.0745115731759286e-27,43.168924001471765
FromLSOpt,131025,6.98636398379218e-27,12.207116368624295
FromLSOpt,946454,2.820241985188062e-26,29.815730704220876
FromLSOpt,574324,2.5443856574829898e-26,63.99423656361414
FromLSOpt,677650,2.3218926665645212e-26,90.88672062545572
FromLSOpt,571586,1.0327142030960657e-25,81.0727445404088
FromLSOpt,72716,2.4761960554828628e-27,27.053390517632295
FromLSOpt,701116,1.0449547228952234e-26,50.558275571846366
FromLSOpt,95217,1.5404643104818637e-27,21.72147951023553
FromLSOpt,845515,3.6538448319211286e-27,26.334675125777956
FromLSOpt,348995,1.6627143507422962e-26,37.48393157207453
FromLSOpt,768309,1.8087555299948968e-26,45.51805653697501
FromLSOpt,269059,5.817244779157714e-27,42.442682156101405
FromLSOpt,539631,8.112213555973912e-27,47.16172315596636
FromLSOpt,293905,1.8488947495788886e-26,192.16560411245862
FromLSOpt,242194,5.3290309246127235e-27,22.0019020744568
FromLSOpt,978070,5.192277086086002e-27,54.69632338852688
FromLSOpt,853242,6.974283549095559e-27,36.58886421672332
FromLSOpt,706065,8.087292800097966e-27,25.076436205294122
FromLSOpt,442139,6.911782088500801e-26,107.7656114264997
FromLSOpt,884577,4.749485331349836e-27,81.47147405820141
FromLSOpt,520741,1.428803295417492e-26,24.97142984061684
FromLSOpt,941831,2.588793705603541e-26,129.9676399499225
FromLSOpt,810699,1.1193672525843777e-26,32.07147000422074
FromLSOpt,464848,7.777824265501617e-27,140.30407976533974
FromLSOpt,977013,1.2872945282799686e-26,40.01005971636593
FromLSOpt,500161,4.499893628186733e-26,92.69753938828288
FromLSOpt,715846,1.2058639335635556e-26,6.550630451844728
FromLSOpt,189850,2.3005770905346005e-26,71.22794397918783
FromLSOpt,376441,1.3915011314740836e-25,54.37207859711991
FromLSOpt,565864,1.6792712623254021e-26,47.04080295202962
FromLSOpt,172235,4.452702674009663e-26,66.52514154402037
FromLSOpt,327351,9.170718449773365e-26,44.52824410517527
FromLSOpt,632108,3.726612644112211e-26,22.390082393609053
FromLSOpt,374141,1.460024167828337e-26,48.41931027370025
FromLSOpt,728543,6.21319537460025e-26,55.71314829274431
FromLSOpt,2776,5.912027771397905e-26,36.114967889820846
FromLSOpt,134685,3.109490547224979e-26,35.875604601825195
FromLSOpt,531899,5.1292621600058617e-26,349.6678187756527
FromLSOpt,73170,1.1728539442019564e-26,25.96504085122498
FromLSOpt,501756,1.474234853775292e-27,69.90918151175815
FromLSOpt,906940,6.841295889671778e-26,28.39539024116735
FromLSOpt,116769,1.2248107000173636e-26,73.26911169063071
FromLSOpt,367197,1.6927210692108214e-27,24.32810164864093
FromLSOpt,881164,3.819912183135062e-26,23.06582159917451
FromLSOpt,671891,7.771507708803575e-27,19.037711594476068
FromLSOpt,479862,9.14424999363825e-27,43.18644140044641
FromLSOpt,949969,3.707398656985105e-26,204.27983004229048
FromLSOpt,26233,1.355620507026676e-26,139.8902539813292
FromLSOpt,347189,1.382618655210283e-27,44.643226695555455
FromLSOpt,819254,1.1652525779713019e-26,13.112739435810303
FromLSOpt,792832,7.699982888257439e-26,44.10913043365876
FromLSOpt,967230,8.806424545013963e-26,24.62346088847329
FromLSOpt,471452,2.802674851126752e-26,86.94451049095098
FromLSOpt,193780,6.746462819950308e-26,42.32380587104828
FromLSOpt,941781,2.5956123016824233e-26,38.07375079953281
FromLSOpt,669388,6.221231387860483e-27,22.809033462713327
FromLSOpt,892109,4.094807046136898e-27,38.698771309045746
FromLSOpt,356715,1.622970745155051e-26,236.43385544434798
FromLSOpt,728948,1.2636189969711876e-25,120.02578024639122
FromLSOpt,400910,1.4870262497238553e-26,93.43487738972064
FromLSOpt,314519,1.9942063696434238e-26,19.819533358972095
FromLSOpt,804720,1.2402307183024107e-27,69.26306406700736
