Seed,TrainingError,TestError
325977,32.98882504749705,1579.8161935407027
549051,28.362373875449023,1481.4416897660021
218586,37.25990024629928,1684.4361140062056
894246,32.125798746767536,1831.684789000217
353111,29.54371740972801,2327.2442785328244
394255,33.075652308489936,3462.307087696065
953125,33.751247684701674,1940.4150210789737
795547,23.897772233639312,2162.0564209180975
494250,37.41468291274322,1243.722359418261
748415,39.540165799786095,2486.9999928135267
578232,39.072254935493774,1596.7875042926971
727935,38.558446980626236,2118.506770599295
7448,47.67797062925287,2291.5981620913526
199376,26.583439330210666,1977.2981031539568
439243,35.26994655947762,1829.0578033004563
682533,21.632858021728907,1536.7375604914778
956741,29.804296943709137,2455.8756918793206
647855,38.78162648991774,2178.6700315609373
996666,30.55260284234799,1802.6731023999557
749194,39.724426889479716,1516.4353319269585
110084,38.94568211813877,1563.331458662774
491383,36.065696765855506,1824.6394579675143
565145,32.31422080263215,1738.6064880329795
253812,19.13017446248609,3094.214731448048
626794,28.059503821480405,1742.6106671271639
234104,31.452783250658257,1624.2067345303221
124792,34.31064105445577,1403.3133089266335
609875,29.05325641865808,2890.7024041501963
672793,42.15540645627687,1496.3039924880795
761916,35.482753802299804,2270.5081106500934
588872,43.17766970380714,2720.2503621260253
365854,31.19785708382458,1974.218176446121
131025,39.308832558601196,1724.154367414938
946454,46.52231529363488,1813.0020302701835
574324,30.16375566656035,1572.9863459502324
677650,44.484847737807755,3290.0312536487972
571586,39.49039087786719,1399.0288487918986
72716,39.54599336301381,1885.0665855421214
701116,34.0593759397933,1884.9213820276432
95217,36.994478552825974,1493.3201575871758
845515,31.305261708065245,1807.2503009124464
348995,32.36413962384637,1227.7431288298894
768309,33.99202715732581,2691.232840580061
269059,51.332549818784074,2414.183017917393
539631,32.177489221083334,2016.870028771233
293905,35.3275236508847,2092.836859667898
242194,29.869351044690546,2560.7545356452415
978070,37.23064300672259,1596.9830434642522
853242,43.27711594451597,1586.087367468333
706065,26.284610664022896,1757.7832711670221
442139,33.181238631762525,1614.6625642457657
884577,31.257851343685225,1157.039654113803
520741,25.351324276257742,1892.5965870698515
941831,29.108785465075453,1722.713594429115
810699,33.820949185937266,1458.268213991109
464848,37.77671462555534,1995.5768564691834
977013,33.27400141602127,1834.9479548666095
500161,41.1460763020064,1368.4269661452079
715846,21.521622133958225,1722.7060726210889
189850,33.085850520889025,1415.0090899470567
376441,41.104875499512836,1523.299237500873
565864,37.135069825572884,1610.3123979100185
172235,27.49313047216223,2468.934573788132
327351,29.804378999682648,1879.837316279278
632108,38.68810340875082,1398.830765447402
374141,34.46413931131811,1299.329098341876
728543,45.70816766254895,2465.629896123486
2776,35.69741860327064,1389.6234346021593
134685,37.400487810753795,3234.20621956403
531899,33.45043982239912,2440.5231291786317
73170,29.19067490967146,1802.0388427100102
501756,41.46703798606384,1725.565045129029
906940,40.510047020729935,1523.7509676362279
116769,33.34254694957174,1183.3133714972198
367197,42.10455616163399,1807.6449604607303
881164,46.91165742873748,1670.7857757273146
671891,22.473140548097305,1170.3831532071663
479862,37.49782728241602,2345.325812911703
949969,56.350362947117794,2060.56767478476
26233,39.85566765561353,1990.70097479254
347189,38.043984500598285,2167.38915036666
819254,34.91696316018496,1739.0037247209507
792832,57.14626799159085,4905.044899005334
967230,41.34386584472926,1904.341398416775
471452,26.720260332273803,1944.0124788508208
193780,30.082942388557836,1323.3928194421874
941781,23.395167586359847,1468.9868826040424
669388,31.927195066402543,2007.4567260650456
892109,33.50073013162656,1632.0398567601433
356715,32.75084871997243,1446.331976988244
728948,48.267855970486195,2378.231292271
400910,39.88342223086499,1490.9204211093056
314519,30.832564908139705,1587.1694321990879
804720,35.38533038919855,1489.5948618593886
108778,35.87968920854391,1637.9135685406627
498061,32.30704885781509,1478.4169378339664
553733,56.80147192849539,3811.8171552930594
488934,30.653321243941598,1289.4584058548935
491581,29.263162353573307,1965.79199763411
932783,41.97867053464563,2412.6036776169467
