Blocks,Seed,TrainingError,TestError
Original,325977,15.681539883768346,567.3002485559068
Original,549051,8.660005443067874,542.6608884876157
Original,218586,19.44989293857691,631.8925484800516
Original,894246,12.58238053681092,646.1262087294737
Original,353111,13.45760289341974,588.086297802204
Original,394255,11.363008914678986,777.0118521588718
Original,953125,15.176166459685856,514.0873801041256
Original,795547,13.043532502366018,593.8163835077114
Original,494250,14.944554274731964,528.0705062227652
Original,748415,10.862556846299297,552.2793176965909
Original,578232,12.85149348150593,667.7262743434687
Original,727935,15.083670954317522,596.1002474519338
Original,7448,16.129467288636764,607.2462241687626
Original,199376,12.481729318130421,570.508441382191
Original,439243,9.175067478117352,779.2292431566824
Original,682533,9.06251916037707,587.7807788959666
Original,956741,7.95326796488677,654.1148971942067
Original,647855,14.838608102759434,609.4205101986652
Original,996666,14.291671310681952,567.2626218120687
Original,749194,13.34893659692401,619.6553739657586
Original,110084,9.949904927871483,530.2038618740587
Original,491383,10.144982210589443,783.3195582582093
Original,565145,10.72389240238534,634.9731608465131
Original,253812,8.720857955318637,770.5404023095397
Original,626794,12.081473466382693,619.3149840657941
Original,234104,15.12078068538261,624.6461682813119
Original,124792,15.380605318293249,623.9503948575991
Original,609875,8.552955173877649,828.6779051464302
Original,672793,12.974364576850551,566.7351610835242
Original,761916,13.673756071985789,669.5193395678625
Original,588872,16.40305186557858,604.3132581347145
Original,365854,12.251436343033404,544.7554421653006
Original,131025,12.2221062903976,687.229374620496
Original,946454,10.626505704905298,652.7468121632496
Original,574324,15.607317266359193,632.6445157729813
Original,677650,19.694920682721502,539.9574580860776
Original,571586,13.341485470907742,568.8224034044451
Original,72716,11.099334143583917,764.7222474265643
Original,701116,13.239018284749726,679.0891825494067
Original,95217,9.671144208954289,812.3284241795022
Original,845515,12.09548862332715,689.1530477914921
Original,348995,13.39260134837686,612.1653697831241
Original,768309,14.096151449689952,535.7012514601408
Original,269059,18.730941460588035,534.4545642326405
Original,539631,12.360740578408965,620.0072922604809
Original,293905,9.240133622435764,603.5561040879172
Original,242194,9.419169210717826,662.5243203058963
Original,978070,14.416041019946144,671.5918859675749
Original,853242,5.71851769554377,616.2182552286031
Original,706065,10.588497692176308,653.01982820524
Original,442139,11.910258968506003,575.1912053019691
Original,884577,10.047063962898442,613.3502724669108
Original,520741,9.418860353319754,510.23260478410845
Original,941831,14.918318040746389,584.3888589233895
Original,810699,14.41868976113686,564.9207064782886
Original,464848,16.818581715445802,525.676266121442
Original,977013,12.619703406919339,930.1872693190414
Original,500161,15.411699662375037,590.3209335156358
Original,715846,13.386314378276653,610.4899720516307
Original,189850,10.797283640497042,528.7451165774914
Original,376441,14.02812006321829,1057.7283100187099
Original,565864,12.224143282075307,664.81073386815
Original,172235,13.614255023847905,711.2461758402217
Original,327351,14.384335869905673,551.2303030413299
Original,632108,14.566733089149253,556.4599410412286
Original,374141,12.162848882224054,634.9466991072134
Original,728543,14.059441772000106,736.5036278649063
Original,2776,10.913891061299246,538.4651552750877
Original,134685,13.209085664927693,499.9951644073991
Original,531899,17.623766793363327,627.721794813593
Original,73170,11.889806874767523,648.4048561950967
Original,501756,24.29899392323461,554.1427371770868
Original,906940,13.25034485642778,934.562530433615
Original,116769,15.48860106366913,760.8975051191865
Original,367197,21.42253015610177,571.7133716827739
Original,881164,13.587297171839335,561.1054701001835
Original,671891,7.195725410652216,585.072350676114
Original,479862,15.341971050014244,728.7938733376695
Original,949969,12.876168685850647,653.0709394780819
Original,26233,14.288559970263613,713.6650437648527
Original,347189,11.466986327937772,670.4201473976766
Original,819254,11.898342929534476,497.6707507764208
Original,792832,19.735800907049068,618.65142754196
Original,967230,16.365456895259875,567.1560152556413
Original,471452,13.202910284093253,635.9924435864592
Original,193780,13.082403119994954,701.9848147964437
Original,941781,10.208213798661248,603.8623061701157
Original,669388,13.86402113941798,534.3104332439623
Original,892109,9.404136813544273,558.5807403085826
Original,356715,10.210485632700369,690.5151107867387
Original,728948,13.27561862781997,616.8092798780121
Original,400910,17.608090381688626,576.4150102666413
Original,314519,16.57847761801414,531.2849592428668
Original,804720,13.718362863250832,891.7484961017212
Original,108778,11.105550912333811,709.0377472534103
Original,498061,10.708494909049826,578.1355512122499
Original,553733,17.118837446624568,643.2930079975084
Original,488934,9.093294593093384,734.9033084680658
Original,491581,12.084193564487808,600.5603785903029
Original,932783,20.580448846179166,831.3693067663951
