Descriptor,Pos,Neg
number_of_elements,0,1
mean_atomic_mass,1,0
wtd_mean_atomic_mass,0,1
gmean_atomic_mass,0,1
wtd_gmean_atomic_mass,1,0
entropy_atomic_mass,0,1
wtd_entropy_atomic_mass,0,1
range_atomic_mass,1,0
wtd_range_atomic_mass,1,0
std_atomic_mass,0,1
wtd_std_atomic_mass,1,0
mean_fie,1,0
wtd_mean_fie,0,1
gmean_fie,0,1
wtd_gmean_fie,1,0
entropy_fie,0,1
wtd_entropy_fie,1,0
range_fie,1,0
wtd_range_fie,1,0
std_fie,0,1
wtd_std_fie,1,0
mean_atomic_radius,0,1
wtd_mean_atomic_radius,1,0
gmean_atomic_radius,1,0
wtd_gmean_atomic_radius,0,1
entropy_atomic_radius,1,0
wtd_entropy_atomic_radius,1,0
range_atomic_radius,1,0
wtd_range_atomic_radius,0,1
std_atomic_radius,0,1
wtd_std_atomic_radius,0,1
mean_Density,0,1
wtd_mean_Density,0,1
gmean_Density,1,0
wtd_gmean_Density,1,0
entropy_Density,1,0
wtd_entropy_Density,0,1
range_Density,0,1
wtd_range_Density,0,1
std_Density,1,0
wtd_std_Density,0,1
mean_ElectronAffinity,0,1
wtd_mean_ElectronAffinity,1,0
gmean_ElectronAffinity,1,0
wtd_gmean_ElectronAffinity,0,1
entropy_ElectronAffinity,1,0
wtd_entropy_ElectronAffinity,0,1
range_ElectronAffinity,0,1
wtd_range_ElectronAffinity,0,1
std_ElectronAffinity,1,0
wtd_std_ElectronAffinity,0,1
mean_FusionHeat,1,0
wtd_mean_FusionHeat,0,1
gmean_FusionHeat,0,1
wtd_gmean_FusionHeat,1,0
entropy_FusionHeat,0,1
wtd_entropy_FusionHeat,1,0
range_FusionHeat,0,1
wtd_range_FusionHeat,1,0
std_FusionHeat,0,1
wtd_std_FusionHeat,1,0
mean_ThermalConductivity,0,1
wtd_mean_ThermalConductivity,1,0
gmean_ThermalConductivity,0,1
wtd_gmean_ThermalConductivity,0,1
entropy_ThermalConductivity,1,0
wtd_entropy_ThermalConductivity,1,0
range_ThermalConductivity,0,1
wtd_range_ThermalConductivity,0,1
std_ThermalConductivity,1,0
wtd_std_ThermalConductivity,0,1
mean_Valence,0,1
wtd_mean_Valence,1,0
gmean_Valence,1,0
wtd_gmean_Valence,0,1
entropy_Valence,1,0
wtd_entropy_Valence,0,1
range_Valence,1,0
wtd_range_Valence,1,0
std_Valence,1,0
wtd_std_Valence,0,1
