Seed,TrainingError,TestError
325977,3.0926878787217084e6,2.1782190739295864e6
549051,3.09414818766273e6,2.2176991077582613e6
218586,3.158795235893361e6,2.1188747376776845e6
894246,3.034744820070494e6,2.2466232183714034e6
353111,3.065168902275921e6,2.218016158227686e6
394255,3.056926590978039e6,2.2293168812178695e6
953125,3.0933100373020135e6,2.1479982559030615e6
795547,3.060239372823477e6,2.2027882335169753e6
494250,2.9915017444355357e6,2.2841321681759316e6
748415,3.100247122259799e6,2.2324224489754075e6
578232,3.037864330593643e6,2.2070480706290565e6
727935,3.044590429614039e6,2.2041803987498106e6
7448,3.096643049550118e6,2.195068924212663e6
199376,3.0561845246776473e6,2.170307066880338e6
439243,3.113212352283991e6,2.1689577487091897e6
682533,3.0536660231065257e6,2.212326131718939e6
956741,3.091519007336232e6,2.199373621730031e6
647855,3.108369189220446e6,2.121803467762152e6
996666,3.1112440702028293e6,2.158513728123878e6
749194,3.0377711339199143e6,2.1890153236845527e6
110084,3.084692419792324e6,2.1836524674167046e6
491383,3.1608426581117045e6,2.178443427852408e6
565145,3.0952326195292594e6,2.2255862033877233e6
253812,2.9963829537497694e6,2.2619362353387484e6
626794,3.0679939006224335e6,2.159059922692596e6
234104,3.1093929907436925e6,2.1903886014182824e6
124792,3.0589653101796675e6,2.242876341513749e6
609875,3.0693209477735073e6,2.1936434123242535e6
672793,3.06430019608974e6,2.2505085423945845e6
761916,3.0560251664511105e6,2.241445513023129e6
588872,3.059640430561765e6,2.252272875370228e6
365854,3.0904349187860657e6,2.2120503616178697e6
131025,3.09184592469804e6,2.2037667905394547e6
946454,3.020293124754166e6,2.2363883068944635e6
574324,3.08279858929508e6,2.25328008207896e6
677650,3.1324857482632287e6,2.124629003513404e6
571586,3.089433045324537e6,2.1810324445434427e6
72716,3.032591832287371e6,2.27160499050666e6
701116,3.063124881167214e6,2.1848996496565035e6
95217,3.0769310314397216e6,2.1779376478961925e6
845515,3.106239775458254e6,2.194729607189711e6
348995,3.100220402884691e6,2.184114720562514e6
768309,3.0579655696056625e6,2.172080701870445e6
269059,3.043633831546243e6,2.2615275598860416e6
539631,3.045918422486788e6,2.131679613725915e6
293905,3.0563441203302196e6,2.1879525928384745e6
242194,3.0287103268016004e6,2.2936105790958446e6
978070,3.085429504949593e6,2.18243628100822e6
853242,3.086184921246994e6,2.2440669706279747e6
706065,3.1247161964422315e6,2.1869853558366504e6
442139,3.005731821682992e6,2.262926001825318e6
884577,3.1409422800872447e6,2.1548240975254616e6
520741,3.07047764945099e6,2.249212421406896e6
941831,3.1746324484553784e6,2.1435063239314393e6
810699,3.004598757019364e6,2.2332107177972035e6
464848,3.1445807789327586e6,2.1288413213262362e6
977013,3.063838492268038e6,2.2327298757734676e6
500161,3.0325128587116664e6,2.2971045993715613e6
715846,3.09618584944869e6,2.185349924348635e6
189850,3.0758142685155505e6,2.215044808118774e6
376441,3.0519277242237236e6,2.19367305986295e6
565864,3.049293246397701e6,2.2377993513732287e6
172235,3.06309698586181e6,2.2229299571293793e6
327351,3.069867721057098e6,2.1611044572649114e6
632108,3.1193120843523247e6,2.2171993071948886e6
374141,3.1048931122010215e6,2.187254520578392e6
728543,3.094781977850626e6,2.163378759185836e6
2776,3.079259847875327e6,2.1715380961563177e6
134685,3.0899557000829894e6,2.218813995327996e6
531899,3.067352402893801e6,2.1903557426950755e6
73170,3.1040555791600063e6,2.1812787096323175e6
501756,3.074349678611317e6,2.199811960552765e6
906940,3.0954223017396894e6,2.1925886860121842e6
116769,3.144253517850589e6,2.149824658553242e6
367197,3.090634995803993e6,2.1978650735565964e6
881164,3.049318183975159e6,2.2064687808556156e6
671891,3.0659571067101313e6,2.216480770802064e6
479862,3.101760705828267e6,2.152745678740086e6
949969,3.0756030165725662e6,2.178237902384133e6
26233,3.082192946306694e6,2.167253422620748e6
347189,3.1257589519319227e6,2.175756296620398e6
819254,3.110409328223651e6,2.2091379444879093e6
792832,3.0501790442632455e6,2.214885118241714e6
967230,3.023640199920241e6,2.252128377850615e6
471452,3.0496462297869446e6,2.25111325183783e6
193780,3.0559492082722876e6,2.1660906440401534e6
941781,3.091984915354915e6,2.223757903107786e6
669388,3.1111798794593937e6,2.173743760658909e6
892109,3.049760424152203e6,2.243319784792755e6
356715,3.0471709592187637e6,2.250483187137562e6
728948,3.017050799442348e6,2.237106582228458e6
400910,3.121816057556345e6,2.149783266840797e6
314519,3.060140751968549e6,2.1862711859645545e6
804720,3.02786632080816e6,2.26176373599165e6
108778,3.076359843459268e6,2.152972009414618e6
498061,3.051461414849728e6,2.2518768606718667e6
553733,3.0627641155821728e6,2.245258153934014e6
488934,3.0206022841269993e6,2.2809709538477147e6
491581,3.1307657604969335e6,2.138295255999105e6
932783,3.132485971124826e6,2.174993873148934e6
