Seed,TrainingError,TestError
325977,5.655437381097438e6,3.9723318015576554e6
549051,5.714543886044396e6,4.037279586310193e6
218586,5.749403428286621e6,3.9107044042345947e6
894246,5.6872545922959205e6,3.998347104079644e6
353111,5.703009631616515e6,3.999924639468642e6
394255,5.559169430316631e6,4.0993818623657096e6
953125,5.686044161724212e6,4.026137515447109e6
795547,5.720402120059162e6,3.9254667274923353e6
494250,5.616203807678782e6,4.0854771226145374e6
748415,5.744701456064544e6,3.958405978625914e6
578232,5.66713998763434e6,4.1498254059110316e6
727935,5.77510573237687e6,3.9860156253123255e6
7448,5.63341456139668e6,4.091400871338941e6
199376,5.635922994672392e6,3.9107444373926376e6
439243,5.75841017790979e6,3.9702029775343966e6
682533,5.653080020260115e6,3.97948955497717e6
956741,5.67706579523989e6,4.046970841296619e6
647855,5.710484285993776e6,3.858363974482037e6
996666,5.654782496295273e6,4.0096882808167646e6
749194,5.617913802174892e6,4.0548197412677994e6
110084,5.552152860509379e6,4.0826571312066168e6
491383,5.723599973512093e6,3.9643232904213313e6
565145,5.695844586255145e6,4.059124751409598e6
253812,5.690875482668017e6,3.988431841263431e6
626794,5.630375918690728e6,4.025761185739043e6
234104,5.756076518942942e6,4.006446429449641e6
124792,5.63968618701618e6,4.111693012501011e6
609875,5.692240867442682e6,3.9976355950105786e6
672793,5.712040343133339e6,4.0089818541900804e6
761916,5.655424963047257e6,4.018766228210043e6
588872,5.589992737210747e6,4.1480746658106083e6
365854,5.745579834855887e6,3.930081931648477e6
131025,5.70554658322127e6,4.09673664342964e6
946454,5.667078435032971e6,4.0437770105843656e6
574324,5.59629238792586e6,4.059980880686367e6
677650,5.651761121292091e6,4.040251867112871e6
571586,5.646744637276114e6,3.985311686186145e6
72716,5.567916594700064e6,4.0075815514047034e6
701116,5.666978436977507e6,3.9801353234708006e6
95217,5.612201022538233e6,4.037116867763825e6
845515,5.679738426703693e6,4.037027013522312e6
348995,5.735374005980723e6,3.999194837865906e6
768309,5.697211327085784e6,3.9818415979650235e6
269059,5.594630066093676e6,4.0544649878782844e6
539631,5.635758587338225e6,3.929385251111718e6
293905,5.620433124782036e6,4.015152099147907e6
242194,5.652922114676047e6,4.1063794248237098e6
978070,5.704876868371408e6,4.0347898851053547e6
853242,5.693392862966147e6,4.031246200301513e6
706065,5.719603991620004e6,4.002025620288373e6
442139,5.644847386833596e6,4.032231533194996e6
884577,5.673670297171741e6,4.0393699393574316e6
520741,5.790648323734438e6,3.9634420039361175e6
941831,5.765932196921628e6,3.9984346884467667e6
810699,5.621988334406614e6,4.0108821311990037e6
464848,5.692615257549431e6,3.878645502083877e6
977013,5.702709963813291e6,3.9980241450047884e6
500161,5.5819588778475905e6,4.0864986128571252e6
715846,5.64789613173709e6,4.037968568697392e6
189850,5.67053467343593e6,4.0813044521575645e6
376441,5.62067077392891e6,3.9697283346079937e6
565864,5.726384118620123e6,4.01458407729771e6
172235,5.7386682303894935e6,3.996069326823668e6
327351,5.658436936255936e6,3.994590015064625e6
632108,5.623988028426062e6,4.0678941084936666e6
374141,5.5948789079642845e6,4.0881587851365386e6
728543,5.683108640151754e6,3.958229403705106e6
2776,5.674131973054262e6,4.033219811102708e6
134685,5.718575515502695e6,3.9999046828258545e6
531899,5.653442503142182e6,3.920684723669202e6
73170,5.673660328368528e6,4.028298338674565e6
501756,5.650820405657511e6,4.02321990918357e6
906940,5.696403651740016e6,3.9648763452998716e6
116769,5.6350154001969695e6,4.024651243307098e6
367197,5.643117419494096e6,3.993914140596751e6
881164,5.589002997185446e6,4.141160960115481e6
671891,5.673178651347559e6,3.952019177572638e6
479862,5.640155742551054e6,4.1164229879357144e6
949969,5.68542673837113e6,3.930411991338605e6
26233,5.635831191721171e6,4.0627613532807226e6
347189,5.711300886440671e6,4.070293617134659e6
819254,5.738136847482334e6,4.059931760497406e6
792832,5.702718909660908e6,4.034342279372397e6
967230,5.644140694320329e6,4.0318562727539763e6
471452,5.601161492922671e6,4.1356280885006916e6
193780,5.643019556932919e6,4.0345227527612895e6
941781,5.673973091207851e6,4.0439470517208385e6
669388,5.623941973681318e6,3.994712600975451e6
892109,5.645566738955124e6,4.031884009368344e6
356715,5.5888718223886145e6,4.075217292028775e6
728948,5.60376791419931e6,4.043135276915957e6
400910,5.770280454545229e6,3.9956926248515677e6
314519,5.670081130291939e6,3.966560486054494e6
804720,5.7054944915980585e6,4.05304998495707e6
108778,5.7154025004676e6,4.0788470726615735e6
498061,5.601942193683049e6,4.0431554964958453e6
553733,5.639814577418853e6,4.142414389632484e6
488934,5.574794453275932e6,4.1027581773567814e6
491581,5.739766688998384e6,3.9756437364287227e6
932783,5.708971686419737e6,4.1117313736961232e6
