Blocks,Seed,TrainingError,TestError
Original,325977,3.788066268552526e6,2.6657500030525117e6
Original,549051,3.798932478682847e6,2.6910266189046465e6
Original,218586,3.857570127655034e6,2.5946943460743697e6
Original,894246,3.762290994546221e6,2.6992488156467583e6
Original,353111,3.799888020566391e6,2.6740157244780385e6
Original,394255,3.731748507562996e6,2.7372552841927223e6
Original,953125,3.798694308144937e6,2.617010910416184e6
Original,795547,3.7576168945493614e6,2.6690384895875924e6
Original,494250,3.717223789713992e6,2.745644831556583e6
Original,748415,3.811270103862243e6,2.714368452436516e6
Original,578232,3.7677036392002013e6,2.716982729087535e6
Original,727935,3.791361890804387e6,2.6755658632758027e6
Original,7448,3.751808440897374e6,2.702413775156863e6
Original,199376,3.77140400644419e6,2.6494592437168784e6
Original,439243,3.7922775179773965e6,2.6390191481050006e6
Original,682533,3.7598527431255835e6,2.688442452542852e6
Original,956741,3.7703343678757586e6,2.7179660742905117e6
Original,647855,3.8078576895364774e6,2.575525723468001e6
Original,996666,3.8144959121343973e6,2.651054699247376e6
Original,749194,3.7146538137966534e6,2.668947811288222e6
Original,110084,3.7350948322124537e6,2.695504524845153e6
Original,491383,3.8346215956633557e6,2.654243516467073e6
Original,565145,3.789365420563642e6,2.714423175755359e6
Original,253812,3.7189218631186592e6,2.695540314287465e6
Original,626794,3.7387192906314787e6,2.646432643306596e6
Original,234104,3.8077757349858303e6,2.6835130641329205e6
Original,124792,3.7289728260637186e6,2.7614977371413335e6
Original,609875,3.7757848723401558e6,2.699080291600044e6
Original,672793,3.7969807490116265e6,2.734325907555101e6
Original,761916,3.7680510374927525e6,2.736877221308164e6
Original,588872,3.726799746667004e6,2.7562900281052375e6
Original,365854,3.7683726413925043e6,2.6908580986485067e6
Original,131025,3.795193649827826e6,2.68291647681774e6
Original,946454,3.7153309862055685e6,2.743632174979974e6
Original,574324,3.755160166702491e6,2.7331649866829803e6
Original,677650,3.7879232770765265e6,2.6486980541752395e6
Original,571586,3.7581582791128336e6,2.6745065181596735e6
Original,72716,3.7171303805567855e6,2.7560233885159474e6
Original,701116,3.753092056245851e6,2.68124313928515e6
Original,95217,3.7706785310926447e6,2.642158295507608e6
Original,845515,3.763927618573169e6,2.702748258180348e6
Original,348995,3.8275771191828004e6,2.6349595891544223e6
Original,768309,3.719803811274832e6,2.666868008956183e6
Original,269059,3.7454380592421414e6,2.7489980427507395e6
Original,539631,3.731574651256087e6,2.64331815924522e6
Original,293905,3.736860216480933e6,2.687543931481407e6
Original,242194,3.722996543615249e6,2.7682701339486325e6
Original,978070,3.787048593885914e6,2.6695069773390843e6
Original,853242,3.8106620331833563e6,2.706496491287753e6
Original,706065,3.7744033212914974e6,2.6984714983649813e6
Original,442139,3.7158996385056637e6,2.734013339899152e6
Original,884577,3.8034726403068216e6,2.6936117655594316e6
Original,520741,3.820144912412517e6,2.6794061098670666e6
Original,941831,3.887856482625319e6,2.6261334889821038e6
Original,810699,3.7094366200017026e6,2.7099902707435554e6
Original,464848,3.8202818133358327e6,2.593982025297206e6
Original,977013,3.763896926103828e6,2.708401362151742e6
Original,500161,3.6845521295623537e6,2.7976297816211223e6
Original,715846,3.7820914609040665e6,2.6668017408305095e6
Original,189850,3.752336093205577e6,2.7234343035302376e6
Original,376441,3.7272819235201078e6,2.675306711945581e6
Original,565864,3.7749861498501534e6,2.7057217121412847e6
Original,172235,3.758443896827017e6,2.7053603438022733e6
Original,327351,3.775022915488961e6,2.6155650460587833e6
Original,632108,3.780202102435312e6,2.7078689141437965e6
Original,374141,3.7755931375348456e6,2.669813799542961e6
Original,728543,3.795524426491107e6,2.638091174535024e6
Original,2776,3.7720588014231143e6,2.67087615887631e6
Original,134685,3.7953190736898463e6,2.6810356257806746e6
Original,531899,3.785234422556225e6,2.638324762525364e6
Original,73170,3.7904458485576552e6,2.686610640459582e6
Original,501756,3.7374461028383095e6,2.6759069237625794e6
Original,906940,3.7825038893417534e6,2.6811407504303535e6
Original,116769,3.7657424631464095e6,2.6956890021332926e6
Original,367197,3.780252405551021e6,2.6638943456042036e6
Original,881164,3.6819548158218684e6,2.75571433047546e6
Original,671891,3.7533184553449107e6,2.6872381223652624e6
Original,479862,3.780434414578604e6,2.6779588249581074e6
Original,949969,3.7158431999110365e6,2.694404171079744e6
Original,26233,3.787475472816601e6,2.6720670202050842e6
Original,347189,3.8184196558675105e6,2.656943163853365e6
Original,819254,3.850843520784881e6,2.659618432422312e6
Original,792832,3.7334223963900623e6,2.701556128622094e6
Original,967230,3.717796628610613e6,2.716295456763657e6
Original,471452,3.7513414559203223e6,2.727109927134173e6
Original,193780,3.7626282265980123e6,2.656821457752591e6
Original,941781,3.780562152187256e6,2.691355116711955e6
Original,669388,3.7960741923854114e6,2.6571862997112144e6
Original,892109,3.763056794609486e6,2.703398752201345e6
Original,356715,3.7285579440932423e6,2.7494276178335794e6
Original,728948,3.716010383245541e6,2.710073139854599e6
Original,400910,3.8196788926406577e6,2.6528860950290207e6
Original,314519,3.764548950794939e6,2.652794953313142e6
Original,804720,3.7599979921226394e6,2.72120905135936e6
Original,108778,3.7712678978148503e6,2.649571230869715e6
Original,498061,3.7306829521614835e6,2.751029636936377e6
Original,553733,3.730466915658545e6,2.7469136260188185e6
Original,488934,3.680649681642999e6,2.7631401529923533e6
Original,491581,3.810614996032536e6,2.619305271206976e6
Original,932783,3.8460428583066952e6,2.685001600900955e6
