Blocks,Seed,TrainingError,TestError
FromLS,325977,3.0926878787217084e6,2.1782190739295925e6
FromLS,549051,3.094148187662729e6,2.2176991077582873e6
FromLS,218586,3.1587952358933613e6,2.1188747376776966e6
FromLS,894246,3.034744820070494e6,2.2466232183714034e6
FromLS,353111,3.065168902275921e6,2.21801615822767e6
FromLS,394255,3.056926590978039e6,2.2293168812178657e6
FromLS,953125,3.093310037302013e6,2.147998255903063e6
FromLS,795547,3.0602393728234763e6,2.2027882335169753e6
FromLS,494250,2.9915017444355357e6,2.2841321681759665e6
FromLS,748415,3.1002471222597985e6,2.2324224489754066e6
FromLS,578232,3.037864330593643e6,2.207048070629064e6
FromLS,727935,3.044590429614039e6,2.2041803987498283e6
FromLS,7448,3.0966430495501175e6,2.1950689242126807e6
FromLS,199376,3.0561845246776463e6,2.1703070668803486e6
FromLS,439243,3.113212352283991e6,2.168957748709183e6
FromLS,682533,3.0536660231065257e6,2.2123261317189457e6
FromLS,956741,3.0915190073362314e6,2.19937362173003e6
FromLS,647855,3.108369189220446e6,2.1218034677621876e6
FromLS,996666,3.1112440702028293e6,2.158513728123874e6
FromLS,749194,3.0377711339199143e6,2.189015323684573e6
FromLS,110084,3.084692419792323e6,2.1836524674167223e6
FromLS,491383,3.160842658111705e6,2.178443427852404e6
FromLS,565145,3.095232619529259e6,2.2255862033877284e6
FromLS,253812,2.9963829537497703e6,2.2619362353387317e6
FromLS,626794,3.067993900622433e6,2.159059922692607e6
FromLS,234104,3.109392990743692e6,2.1903886014182735e6
FromLS,124792,3.058965310179667e6,2.242876341513764e6
FromLS,609875,3.069320947773508e6,2.1936434123242497e6
FromLS,672793,3.06430019608974e6,2.250508542394594e6
FromLS,761916,3.0560251664511105e6,2.241445513023126e6
FromLS,588872,3.059640430561765e6,2.252272875370236e6
FromLS,365854,3.090434918786066e6,2.212050361617867e6
FromLS,131025,3.091845924698041e6,2.2037667905394267e6
FromLS,946454,3.0202931247541667e6,2.2363883068944626e6
FromLS,574324,3.08279858929508e6,2.2532800820789104e6
FromLS,677650,3.1324857482632296e6,2.1246290035134433e6
FromLS,571586,3.0894330453245365e6,2.181032444543436e6
FromLS,72716,3.032591832287371e6,2.271604990506691e6
FromLS,701116,3.0631248811672134e6,2.1848996496565137e6
FromLS,95217,3.0769310314397216e6,2.177937647896189e6
