Blocks,Seed,TrainingError,TestError
FromLSOpt,325977,3.093117197301804e6,2.1781522161804885e6
FromLSOpt,549051,3.094752015711536e6,2.217447646357909e6
FromLSOpt,218586,3.160945284356256e6,2.116924735537947e6
FromLSOpt,894246,3.0360292312994096e6,2.2455985939137023e6
FromLSOpt,353111,3.06594929203843e6,2.2174422430105526e6
FromLSOpt,394255,3.05804401286156e6,2.2289590277871704e6
FromLSOpt,953125,3.0941335056659128e6,2.1476411499200044e6
FromLSOpt,795547,3.0623947558409367e6,2.2002291807819176e6
FromLSOpt,494250,2.9931219065568787e6,2.283365232434313e6
FromLSOpt,748415,3.101154789940962e6,2.23150488281429e6
FromLSOpt,578232,3.03827085991466e6,2.2071487344027846e6
FromLSOpt,727935,3.0453504575250633e6,2.2044405643331837e6
FromLSOpt,7448,3.097349422451264e6,2.1943837358578257e6
FromLSOpt,199376,3.0573139348303406e6,2.169445856478341e6
FromLSOpt,439243,3.114045077327951e6,2.168937763570697e6
FromLSOpt,682533,3.055072582620573e6,2.2120795621733083e6
FromLSOpt,956741,3.091784483277347e6,2.199682026122134e6
FromLSOpt,647855,3.108897941123342e6,2.121496221613543e6
FromLSOpt,996666,3.1125665723849484e6,2.157816353962867e6
FromLSOpt,749194,3.038636571176627e6,2.188591363566065e6
FromLSOpt,110084,3.085773139464847e6,2.182801363595168e6
FromLSOpt,491383,3.1626473523798594e6,2.1775141433641245e6
FromLSOpt,565145,3.0970904553287523e6,2.224633765821271e6
FromLSOpt,253812,2.9977912691747127e6,2.2616965150816664e6
FromLSOpt,626794,3.0684693927622843e6,2.1583474925484e6
FromLSOpt,234104,3.1107004246765734e6,2.189567013372384e6
FromLSOpt,124792,3.0594672608326636e6,2.242880283263465e6
FromLSOpt,609875,3.0703924261122504e6,2.1933457603114564e6
FromLSOpt,672793,3.065750126531071e6,2.248647151233495e6
FromLSOpt,761916,3.0565878238363136e6,2.2417145172262825e6
FromLSOpt,588872,3.061407500769415e6,2.2514558407027945e6
FromLSOpt,365854,3.0916671754554063e6,2.2097503851694055e6
FromLSOpt,131025,3.0927643256909857e6,2.203813090731757e6
FromLSOpt,946454,3.0214677266259734e6,2.2352121969558243e6
FromLSOpt,574324,3.083722507625969e6,2.251551331276228e6
FromLSOpt,677650,3.1329740092780176e6,2.1244734090226972e6
FromLSOpt,571586,3.0896837391035156e6,2.1814963695802074e6
FromLSOpt,72716,3.033559997507325e6,2.2710577718616743e6
FromLSOpt,701116,3.063598442762491e6,2.1848343489054954e6
FromLSOpt,95217,3.078212685181607e6,2.1767563659862364e6
FromLSOpt,845515,3.10738826059123e6,2.192632073185855e6
