Descriptor,Pos,Neg
AVG-1,1,0
AVG-2,0,1
AVG-3,0,1
AVG-4,0,1
AVG-5,0,1
AVG-6,0,1
AVG-7,1,0
AVG-8,0,1
AVG-9,0,1
AVG-10,1,0
AVG-11,0,1
AVG-12,1,0
COV-1,1,0
COV-2,1,0
COV-3,0,1
COV-4,1,0
COV-5,1,0
COV-6,1,0
COV-7,1,0
COV-8,1,0
COV-9,1,0
COV-10,0,1
COV-11,1,0
COV-12,1,0
COV-13,0,1
COV-14,1,0
COV-15,1,0
COV-16,1,0
COV-17,0,1
COV-18,0,1
COV-19,0,1
COV-20,0,1
COV-21,0,1
COV-22,1,0
COV-23,1,0
COV-24,0,1
COV-25,0,1
COV-26,1,0
COV-27,1,0
COV-28,0,1
COV-29,0,1
COV-30,1,0
COV-31,1,0
COV-32,1,0
COV-33,0,1
COV-34,1,0
COV-35,1,0
COV-36,0,1
COV-37,0,1
COV-38,1,0
COV-39,1,0
COV-40,0,1
COV-41,1,0
COV-42,1,0
COV-43,0,1
COV-44,1,0
COV-45,0,1
COV-46,1,0
COV-47,0,1
COV-48,0,1
COV-49,0,1
COV-50,0,1
COV-51,0,1
COV-52,1,0
COV-53,0,1
COV-54,0,1
COV-55,0,1
COV-56,0,1
COV-57,0,1
COV-58,0,1
COV-59,0,1
COV-60,0,1
COV-61,1,0
COV-62,1,0
COV-63,1,0
COV-64,1,0
COV-65,1,0
COV-66,0,1
COV-67,1,0
COV-68,1,0
COV-69,0,1
COV-70,1,0
COV-71,1,0
COV-72,1,0
COV-73,1,0
COV-74,0,1
COV-75,1,0
COV-76,0,1
COV-77,0,1
COV-78,1,0
