Seed,TrainingError,TestError
325977,874711.2541373272,886523.0216982416
549051,894022.0800694018,913266.3659687273
218586,908571.9341071665,898585.713158038
894246,934908.5823340057,919560.0076493004
353111,908257.5820398343,973450.9121893777
394255,903874.118480341,874452.2425166894
953125,924210.1817378344,938412.3842934961
795547,891739.2127707256,964988.2264124937
494250,893990.4663266183,897585.0401031481
748415,871242.4291358504,900226.6913335165
578232,917068.7452056797,890246.6100972476
727935,914453.4082972041,907515.177953155
7448,891752.2852255953,976649.9731869801
199376,904957.6991007496,907071.1393538169
439243,893983.3040920713,940792.6016039076
682533,906720.1408817142,903309.6720840608
956741,890146.2236375606,917307.1927475147
647855,906990.3637749591,944221.089790144
996666,854940.6743807937,930874.9568270387
749194,911313.3369593681,943426.8575433305
110084,889806.3666958697,919876.0406889275
491383,837449.6273761473,945480.3669660765
565145,906583.5670460861,934293.0081466815
253812,870934.5236284505,948240.4101809073
626794,876473.8348225262,926816.5492583786
234104,930146.6715439203,924689.5345822822
124792,889986.4218833367,926495.6996477032
609875,906098.778509119,916454.73074186
672793,898478.7354554129,916856.2147786323
761916,950093.6448089387,895433.3808689439
588872,896207.4179095821,900646.2628151637
365854,867257.6017494877,934280.0036715115
131025,869576.5340278877,891704.3596310371
946454,881335.0547898976,906485.5590243468
574324,901871.3959955419,924135.7640524085
677650,908610.9309852865,929400.0714553299
571586,911969.9846863594,948122.8610673922
72716,902029.4390312629,874051.7566012356
701116,914486.9402432417,906305.9742220379
95217,904150.3957466445,951165.6116897826
845515,879801.8361418329,907321.4356536348
348995,899080.5157962694,927549.2144761262
768309,941412.943410904,928220.9898559672
269059,876073.3792559935,919168.3721522441
539631,892861.4298239355,936555.9574310278
293905,913207.0240203652,895718.440940572
242194,922794.0153703087,901139.3625052543
978070,878887.0532780983,947446.6025332006
853242,913308.7775790117,917018.8159484483
706065,873805.8109402214,934156.2658691176
442139,898783.949732438,904720.5316742464
884577,906544.4942618058,925954.0269301019
520741,886650.0161225765,952543.3076814875
941831,900179.9900458079,899828.3501013842
810699,876515.7997785604,909366.4562307599
464848,862647.4771412561,895983.4195643294
977013,911694.5747556677,858970.9214424572
500161,894830.624374186,910435.2826906452
715846,939413.0427481681,931449.9894158414
189850,897961.4518660347,926607.2151299816
376441,910982.6904935861,933548.0796981927
565864,861422.2178115268,853094.6243763686
172235,901814.4755066276,902437.0518800027
327351,915164.1095311523,929883.1917151699
632108,907359.7518941618,911493.8305176782
374141,897835.4187930248,921788.3283275847
728543,891707.6264203652,927815.4610682018
2776,904764.7218647538,915334.0654011533
134685,897667.9784896806,909788.1951142945
531899,877413.5426021514,922660.4154938936
73170,909855.2589141725,903730.4305832619
501756,898102.2768797751,912185.9914120126
906940,891344.8599448365,920590.8345267657
116769,909079.6852712329,887546.7561711916
367197,917039.0824107749,885448.2938279035
881164,933216.5279761164,917273.964895818
671891,896152.2490608952,913739.491237246
479862,941839.2966594063,915440.692066141
949969,931983.0563890637,906489.7136261798
26233,893408.1266229658,921932.6131469918
347189,903080.822957714,973727.0955553548
819254,928918.5991425482,895920.2214912925
792832,908274.6980056878,905691.9929124583
967230,909458.9630275769,921318.5465682726
471452,905916.8442792294,904199.3549230439
193780,905525.0543797753,907852.678901023
941781,913519.8749958526,927368.5148094948
669388,872180.6400558571,916580.1286954074
892109,875190.6393561446,945471.2618579443
356715,888660.6092394477,942040.0668195279
728948,890059.7408237922,929442.2630672754
400910,915164.2629437367,908522.9284898906
314519,892899.3769769706,940117.4210513722
804720,878124.8146969874,929958.2361949813
108778,893380.6469938963,919363.9403267183
498061,902364.3137755076,941713.5278874286
553733,921043.1529807717,907054.5765106243
488934,908738.9091751236,924017.7324537535
491581,896412.3838595957,924812.0056354841
932783,886697.7489677751,913861.2056460374
