Seed,TrainingError,TestError
325977,3.391774901098956e9,3.3175881570985894e9
549051,3.2836838744073353e9,3.399141772699112e9
218586,3.3171507985825415e9,3.5958955889414034e9
894246,3.391227137736949e9,3.556922453470124e9
353111,3.511355467140207e9,3.5698843633155937e9
394255,3.383809539040867e9,3.4655300822569284e9
953125,3.4796965587089024e9,3.6120836935244718e9
795547,3.3840628802654366e9,3.4866340713786836e9
494250,3.4348392066326256e9,3.601366515911328e9
748415,3.377374922596437e9,3.6075133338601637e9
578232,3.457305801619461e9,3.6269706531651597e9
727935,3.4126439273371773e9,3.54440400441159e9
7448,3.448962831468234e9,3.4180791222792244e9
199376,3.5691779018474946e9,3.638484671779443e9
439243,3.455563835633507e9,3.6379023962528896e9
682533,3.473469791376301e9,3.5794733118143854e9
956741,3.377295502815514e9,3.548157415539598e9
647855,3.462862388283372e9,3.602310112366511e9
996666,3.3102402474309053e9,3.560518294887295e9
749194,3.3951882612488155e9,3.425354247632319e9
110084,3.3446691562119055e9,3.537145703961959e9
491383,3.419397295315733e9,3.68525779913334e9
565145,3.4954495801502347e9,3.469008963296751e9
253812,3.2707894277510962e9,3.6759362733385644e9
626794,3.4580153246526604e9,3.5566415959829907e9
234104,3.360892782240672e9,3.4902833478267627e9
124792,3.4068193964626045e9,3.7383826881240406e9
609875,3.503811334438341e9,3.4949896583699436e9
672793,3.424240958685417e9,3.567715733959056e9
761916,3.3239658388494263e9,3.622783703542836e9
588872,3.426613260811346e9,3.5048308117963753e9
365854,3.446685093133836e9,3.4391113959082785e9
131025,3.477600623659464e9,3.424293107096937e9
946454,3.28185658734554e9,3.3382716213749795e9
574324,3.4577148629018917e9,3.853604641869355e9
677650,3.311221165973005e9,3.6334634057202263e9
571586,3.395622372228029e9,3.539954742795768e9
72716,3.369101014268667e9,3.5738698059448757e9
701116,3.3533105882872005e9,3.520136963219845e9
95217,3.424657655977995e9,3.61375465138354e9
845515,3.452969236501609e9,3.720828904693257e9
348995,3.4133080029622045e9,3.4821663908293085e9
768309,3.528080592306006e9,3.389479263872199e9
269059,3.3392539207538943e9,3.5842820780391145e9
539631,3.3024551133587112e9,3.6087892191513767e9
293905,3.537759146986043e9,3.5508576708374996e9
242194,3.4593771744751215e9,3.596088314387038e9
978070,3.5232320267717066e9,3.6165409577682037e9
853242,3.4920059081700253e9,3.704498092781357e9
706065,3.3717020916551056e9,3.5858719413660808e9
442139,3.387335187567097e9,3.8204451433076477e9
884577,3.386244659005644e9,3.59741855491531e9
520741,3.2402381590573654e9,3.6217610805383587e9
941831,3.386588623845668e9,3.326970576562007e9
810699,3.4031532765700116e9,3.3381798048310823e9
464848,3.5024880858430195e9,3.598212014472997e9
977013,3.405227486096925e9,3.4863948155390396e9
500161,3.484788164078763e9,3.6142562701047077e9
715846,3.481052733427122e9,3.5357212012943177e9
189850,3.522102651598408e9,3.665997541886323e9
376441,3.4904602211465e9,3.708898807467798e9
565864,3.4114477549199643e9,3.5093335424018364e9
172235,3.398978276259368e9,3.5891918984382606e9
327351,3.396859957122353e9,3.5148064402476916e9
632108,3.4712169894199147e9,3.4276472737569137e9
374141,3.4576333593140306e9,3.614339907464812e9
728543,3.452977724236229e9,3.452624413884447e9
2776,3.4659768924726305e9,3.4432171516246715e9
134685,3.4799538602646255e9,3.6149607241742783e9
531899,3.445774878870597e9,3.403400319845114e9
73170,3.4737451256171737e9,3.589045831838478e9
501756,3.239088472475091e9,3.722433270113063e9
906940,3.5448594641891413e9,3.9486811144450293e9
116769,3.4509316274222326e9,3.771862234638012e9
367197,3.4414570826783247e9,3.5287063164208856e9
881164,3.4351050957600503e9,3.6117377950015173e9
671891,3.494948381744072e9,3.6193336915682573e9
479862,3.509612289573634e9,3.549378514150475e9
949969,3.472267725658022e9,3.505166671597617e9
26233,3.3206727984526067e9,3.485004791358374e9
347189,3.460115654968154e9,3.6772889773597813e9
819254,3.4430101290017166e9,3.3191437122214756e9
792832,3.434808651726182e9,3.513189908255824e9
967230,3.34158136491705e9,3.5233771969799085e9
471452,3.3756056570550313e9,3.590176463601541e9
193780,3.370712279015848e9,3.522143705455605e9
941781,3.413549330443861e9,3.561696394104518e9
669388,3.502592864001781e9,3.584591343279169e9
892109,3.409419989027636e9,3.5602695164219832e9
356715,3.3758581535181594e9,3.4334169394046297e9
728948,3.426757665469469e9,3.571001872204467e9
400910,3.493713571271199e9,3.5007844718756456e9
314519,3.426328750489899e9,3.551916941444186e9
804720,3.4615829407103457e9,3.6638725593052464e9
108778,3.514916943713909e9,3.562508081160432e9
498061,3.4204666200097513e9,3.612179922091281e9
553733,3.4385260302267246e9,3.3549049194655876e9
488934,3.3747441908532104e9,3.5265151343414383e9
491581,3.3953996278605886e9,3.628631588897356e9
932783,3.5079195838112235e9,3.6305675210430064e9
