Blocks,Seed,TrainingError,TestError
FromLS,325977,874711.2541373264,886523.0216982663
FromLS,549051,894022.0800694011,913266.365968738
FromLS,218586,908571.9341071639,898585.7131580405
FromLS,894246,934908.5823340059,919560.0076493118
FromLS,353111,908257.5820398345,973450.9121893758
FromLS,394255,903874.1184803437,874452.2425166995
FromLS,953125,924210.1817378332,938412.3842934943
FromLS,795547,891739.2127707263,964988.2264125211
FromLS,494250,893990.4663266188,897585.0401031437
FromLS,748415,871242.4291358492,900226.6913335266
FromLS,578232,917068.7452056787,890246.610097266
FromLS,727935,914453.4082972029,907515.1779531771
FromLS,7448,891752.2852255972,976649.9731869965
FromLS,199376,904957.6991007503,907071.1393538625
FromLS,439243,893983.3040920714,940792.6016039128
FromLS,682533,906720.1408817153,903309.6720840579
FromLS,956741,890146.22363756,917307.1927475268
FromLS,647855,906990.3637749602,944221.0897901221
FromLS,996666,854940.6743807932,930874.9568271041
FromLS,749194,911313.3369593666,943426.857543329
FromLS,110084,889806.3666958687,919876.0406889322
FromLS,491383,837449.6273761485,945480.3669661658
FromLS,565145,906583.5670460857,934293.0081467293
FromLS,253812,870934.5236284501,948240.410180947
FromLS,626794,876473.8348225257,926816.5492583769
FromLS,234104,930146.6715439204,924689.5345822889
FromLS,124792,889986.4218833369,926495.6996477211
FromLS,609875,906098.778509119,916454.7307418676
FromLS,672793,898478.7354554129,916856.2147786494
FromLS,761916,950093.64480894,895433.3808689528
FromLS,588872,896207.4179095794,900646.2628151888
FromLS,365854,867257.6017494877,934280.0036715217
FromLS,131025,869576.534027888,891704.3596310347
FromLS,946454,881335.0547898966,906485.5590243255
FromLS,574324,901871.3959955417,924135.764052402
FromLS,677650,908610.9309852882,929400.071455329
FromLS,571586,911969.9846863586,948122.8610674083
FromLS,72716,902029.4390312613,874051.7566012547
FromLS,701116,914486.9402432407,906305.9742220703
FromLS,95217,904150.3957466434,951165.6116897771
FromLS,845515,879801.8361418329,907321.4356536381
FromLS,348995,899080.5157962686,927549.2144761572
FromLS,768309,941412.9434109039,928220.9898559406
FromLS,269059,876073.3792559921,919168.3721522358
FromLS,539631,892861.4298239348,936555.9574310434
FromLS,293905,913207.0240203664,895718.4409405254
FromLS,242194,922794.0153703092,901139.3625052627
FromLS,978070,878887.0532780993,947446.6025331615
FromLS,853242,913308.7775790105,917018.8159484612
FromLS,706065,873805.8109402205,934156.2658691002
FromLS,442139,898783.949732437,904720.5316742694
FromLS,884577,906544.4942618053,925954.0269301062
FromLS,520741,886650.0161225753,952543.3076814961
FromLS,941831,900179.9900458065,899828.3501013739
FromLS,810699,876515.7997785603,909366.4562307578
FromLS,464848,862647.4771412556,895983.4195643228
FromLS,977013,911694.5747556676,858970.9214424557
FromLS,500161,894830.6243741849,910435.282690638
FromLS,715846,939413.0427481679,931449.9894158157
FromLS,189850,897961.451866033,926607.2151299729
FromLS,376441,910982.6904935886,933548.0796981938
FromLS,565864,861422.2178115267,853094.6243763869
FromLS,172235,901814.4755066279,902437.0518800155
FromLS,327351,915164.1095311526,929883.191715165
FromLS,632108,907359.7518941606,911493.8305176528
FromLS,374141,897835.418793025,921788.3283275572
FromLS,728543,891707.6264203652,927815.4610681906
FromLS,2776,904764.7218647529,915334.0654011304
FromLS,134685,897667.9784896832,909788.1951142738
FromLS,531899,877413.5426021522,922660.4154939088
FromLS,73170,909855.258914173,903730.4305832704
FromLS,501756,898102.2768797759,912185.9914120174
FromLS,906940,891344.8599448346,920590.8345267898
FromLS,116769,909079.6852712331,887546.7561711771
FromLS,367197,917039.0824107759,885448.2938279032
FromLS,881164,933216.5279761166,917273.9648958314
FromLS,671891,896152.249060893,913739.4912372567
FromLS,479862,941839.2966594063,915440.6920661279
FromLS,949969,931983.0563890625,906489.7136261894
FromLS,26233,893408.1266229674,921932.6131469838
FromLS,347189,903080.822957714,973727.095555366
FromLS,819254,928918.5991425493,895920.2214912915
FromLS,792832,908274.6980056848,905691.9929124436
FromLS,967230,909458.9630275777,921318.5465682882
FromLS,471452,905916.8442792286,904199.3549230509
FromLS,193780,905525.0543797764,907852.6789010213
FromLS,941781,913519.8749958526,927368.5148094902
FromLS,669388,872180.640055856,916580.128695352
FromLS,892109,875190.6393561442,945471.2618579671
FromLS,356715,888660.6092394472,942040.066819502
FromLS,728948,890059.7408237918,929442.2630672544
FromLS,400910,915164.2629437359,908522.9284899225
FromLS,314519,892899.3769769698,940117.4210513709
FromLS,804720,878124.8146969889,929958.2361949971
FromLS,108778,893380.6469938966,919363.9403266942
FromLS,498061,902364.3137755083,941713.5278874182
FromLS,553733,921043.1529807698,907054.5765106286
FromLS,488934,908738.9091751277,924017.7324537495
FromLS,491581,896412.3838595963,924812.0056354993
FromLS,932783,886697.7489677744,913861.2056459844
